scan_num, scan_time, type, bpi, bpi_mz, tic, num_peaks, num_deisotoped
7302,37.8202,2,1585.3,255.13700,14429.8,73,0
7303,37.8262,2,5615.46,792.84100,77481.8,166,0
7304,37.8315,2,194.814,800.53900,2171.46,31,0
7305,37.8375,2,247.262,646.91500,1874.81,31,0
7306,37.8433,2,136.648,722.14000,1806.62,27,0
7307,37.8493,2,180.156,679.33400,1080.06,15,0
7308,37.8552,2,79.2,825.21800,1113.76,21,0
7309,37.8612,2,151.303,708.36200,2336.28,33,0
7310,37.8670,2,30.636,1143.45000,359.969,9,0
7311,37.8727,2,51.428,1059.07000,771.601,7,0
7313,37.8827,2,1598.9,613.35700,2369.38,12,0
7314,37.8887,2,6861.24,629.28900,14103.5,54,0
7315,37.8947,2,318.223,1584.64000,3700.46,31,0
7316,37.9002,2,1630.1,658.35800,6537.21,38,0
7317,37.9060,2,307.39,809.43600,3238.23,40,0
7318,37.9120,2,405.826,765.15600,2010.73,20,0
7319,37.9178,2,120.864,834.21400,2277.42,36,0
7320,37.9237,2,340.963,585.32100,3534.09,30,0
7321,37.9297,2,82.162,609.24600,1389.9,26,0
7322,37.9357,2,514.753,603.18000,1553.65,13,0
7324,37.9462,2,2353.47,658.36100,10749.8,55,0
7325,37.9520,2,3877.52,785.19900,30759.3,155,0
7326,37.9580,2,678.758,750.76900,5370.9,49,0
7327,37.9638,2,146.127,553.27700,1892.92,30,0
7328,37.9698,2,1180.26,700.20100,7600.02,62,0
7329,37.9757,2,1784.98,735.60100,19299.1,100,0
7330,37.9817,2,246.314,826.53900,2028.7,21,0
7331,37.9875,2,1375.19,659.32300,6589.34,49,0
7332,37.9933,2,140.294,640.22500,1840.61,23,0
7333,37.9993,2,101.804,654.39900,1272.21,14,0
7335,38.0098,2,774.014,693.95900,16640.8,129,0
7336,38.0158,2,752.817,735.55800,8647.66,78,0
7337,38.0217,2,375.776,723.09800,9631.56,94,0
7338,38.0277,2,454.768,402.21200,3467.01,35,0
7339,38.0335,2,262.264,907.47400,4568.52,61,0
7340,38.0393,2,314.929,803.03400,3381.52,38,0
7341,38.0452,2,272.563,885.37300,1370.92,14,0
7342,38.0512,2,119.636,762.32300,1410.3,28,0
7343,38.0570,2,245.358,796.86200,3632.15,51,0
7344,38.0628,2,33.818,1771.14000,51.503,1,0
7346,38.0727,2,636.838,775.98300,12617.5,105,0
7347,38.0787,2,41.659,481.02700,387.045,9,0
7348,38.0847,2,2283.42,651.32000,4885.98,24,0
7349,38.0907,2,219.257,671.33100,1834.96,30,0
7350,38.0965,2,103.377,589.35200,1895.04,28,0
7351,38.1025,2,114.74,840.96200,1587.3,23,0
7352,38.1083,2,394.108,700.30600,2862.85,40,0
7353,38.1142,2,1007.32,640.31200,5536.98,35,0
7354,38.1202,2,106.342,469.39400,1057.79,17,0
7355,38.1262,2,2666.07,763.47300,8474.32,36,0
7357,38.1363,2,679.236,784.44300,18894.2,136,0
7358,38.1422,2,2071.22,640.31500,11701,47,0
7359,38.1482,2,3813.42,763.43500,10027.1,28,0
7360,38.1540,2,68.138,658.47300,820.671,14,0
7361,38.1600,2,1248.79,890.38000,5454.14,22,0
7362,38.1658,2,86.251,505.23200,389.73,7,0
7363,38.1718,2,1690.32,905.24500,10239.3,66,0
7364,38.1777,2,1281.87,905.25500,7129.8,62,0
7365,38.1837,2,1907.52,414.20500,7326.84,33,0
7366,38.1893,2,211.613,840.28100,2733.52,42,0
7368,38.1995,2,1182.37,445.74600,6526.63,30,0
7369,38.2055,2,2718.45,414.28100,8982.62,34,0
7370,38.2112,2,973.884,559.21000,1822.16,20,0
7371,38.2172,2,1809.83,765.37700,10568.2,43,0
7372,38.2232,2,817.121,622.27900,5014.42,45,0
7373,38.2290,2,428.026,941.37900,3357.05,32,0
7374,38.2348,2,1307.02,542.34700,4146.73,23,0
7375,38.2408,2,125.356,255.15100,1345.67,24,0
7376,38.2467,2,12.177,1913.71000,40.68,0,0
7377,38.2522,2,1356.9,912.38100,6157.5,47,0
7379,38.2625,2,412.532,833.43600,8761.93,93,0
7380,38.2683,2,3575.19,639.32900,20026,69,0
7381,38.2743,2,665.932,603.17200,2986.22,32,0
7382,38.2802,2,152.873,1800.47000,6081.02,84,0
7383,38.2860,2,618.805,525.15400,1674.2,9,0
7384,38.2922,2,1114.95,896.49000,5297.72,33,0
7385,38.2980,2,863.811,912.40500,4561.96,33,0
7386,38.3038,2,449.264,396.19300,2313.97,28,0
7387,38.3095,2,1911.6,857.40400,3589.75,12,0
7388,38.3153,2,795.529,753.47400,3651,35,0
7390,38.3257,2,12100,385.20500,31648.9,44,0
7391,38.3318,2,913.605,429.35000,3322.89,25,0
7392,38.3378,2,838.504,740.41300,4974.65,40,0
7393,38.3437,2,366.731,559.29800,1486.66,15,0
7394,38.3497,2,2212.16,641.34000,9522.24,42,0
7395,38.3557,2,1547.51,386.27400,5409.73,21,0
7396,38.3617,2,436.709,833.23500,5038.19,55,0
7397,38.3675,2,1022.95,603.24400,2938.05,20,0
7398,38.3735,2,443.782,660.57800,3276.95,30,0
7399,38.3793,2,151.575,647.05700,1184.51,14,0
7401,38.3898,2,2720.04,915.43000,31408.9,133,0
7402,38.3955,2,14828.6,657.33300,31948.1,64,0
7403,38.4013,2,1564.97,175.00900,8678.64,43,0
7404,38.4073,2,721.747,421.22000,5416.43,42,0
7405,38.4133,2,3362.66,916.41800,37289.5,152,0
7406,38.4192,2,318.454,420.65200,2091.89,28,0
7407,38.4248,2,155.541,472.71900,1825.91,26,0
7408,38.4308,2,552.481,647.29700,3630.39,30,0
7409,38.4368,2,649.616,857.42300,1874.49,11,0
7410,38.4425,2,145.809,421.36500,2016.44,31,0
7412,38.4528,2,19509.5,827.45000,36384.3,46,0
7413,38.4587,2,2235.13,689.33800,11883.7,66,0
7414,38.4647,2,3081.27,918.40000,29630.6,135,0
7415,38.4705,2,2454.73,898.22400,10403.6,34,0
7416,38.4762,2,5280.06,927.32200,16185.8,31,0
7417,38.4820,2,4131.99,933.38900,9183.41,22,0
7418,38.4878,2,8932.64,828.46900,25251.8,50,0
7419,38.4937,2,1936.06,590.28900,13806.5,52,0
7420,38.4997,2,3636.14,490.19800,10336.9,27,0
7421,38.5058,2,10005.7,885.42600,18131.2,64,0
7423,38.5162,2,3590.54,464.47600,9532.27,40,0
7424,38.5222,2,2608.6,472.20300,7655.48,36,0
7425,38.5280,2,74.522,1080.12000,818.388,11,0
7426,38.5338,2,3600.62,886.48700,9956.99,48,0
7427,38.5397,2,4963.45,689.26800,21975.1,93,0
7428,38.5457,2,2465.31,690.33200,13393,84,0
7429,38.5517,2,1094.55,647.25100,3049.57,28,0
7430,38.5575,2,66.245,933.53800,194.444,3,0
7431,38.5630,2,1227.87,707.31800,4012.22,30,0
7432,38.5690,2,437.592,898.36500,7533.46,64,0
7434,38.5792,2,1365.93,603.17300,3519.83,22,0
7435,38.5852,2,568.549,897.33500,8673.79,66,0
7436,38.5910,2,2687.94,547.26600,11849,40,0
7437,38.5968,2,463.456,638.15500,2122.72,31,0
7438,38.6028,2,846.042,658.36400,4568.37,33,0
7439,38.6087,2,3700.32,943.28700,14189.7,38,0
7440,38.6145,2,1139.49,866.41300,5339.87,45,0
7441,38.6205,2,4033.95,793.19100,30592.3,133,0
7442,38.6263,2,669.074,672.41700,4128.59,47,0
7443,38.6323,2,472.403,409.12500,4281.34,28,0
7445,38.6427,2,894.272,657.34000,6025.85,44,0
7446,38.6485,2,595.18,457.31700,5385.41,36,0
7447,38.6545,2,481.848,745.47200,6803.73,63,0
7448,38.6605,2,376.041,573.27900,3029.04,31,0
7449,38.6665,2,730.226,947.37300,3443.21,24,0
7450,38.6723,2,159.427,513.41000,1978.25,31,0
7451,38.6783,2,231.151,537.16000,1166.18,15,0
7452,38.6843,2,62.789,1040.75000,452.366,8,0
7453,38.6900,2,190.399,607.54200,1287.06,13,0
7454,38.6960,2,334.026,444.08100,2445.87,24,0
7456,38.7067,2,16495.7,885.44400,40382.5,103,0
7457,38.7125,2,851.266,802.47300,7421.52,70,0
7458,38.7185,2,370.861,940.46400,4277.74,51,0
7459,38.7240,2,903.024,174.98400,5772.8,43,0
7460,38.7300,2,158.976,539.20300,1167.05,21,0
7461,38.7360,2,47.708,971.39500,239.123,4,0
7462,38.7415,2,192.473,454.22100,2750.03,35,0
7463,38.7473,2,1356.05,883.35700,2803.61,16,0
7464,38.7532,2,2312.31,883.39800,5406.31,23,0
