scan_num, scan_time, type, bpi, bpi_mz, tic, num_peaks, num_deisotoped
7301,37.8160,1,94717.5,647.40700,2194540,1574,0
7312,37.8785,1,90085.6,647.46800,965817,1222,0
7323,37.9417,1,101284,647.40900,1170640,1256,0
7334,38.0052,1,72020.4,647.39000,1074370,1286,0
7345,38.0683,1,39724.8,647.43500,777819,1211,0
7356,38.1320,1,71595.3,870.44300,895030,1206,0
7367,38.1952,1,240779,870.45200,1390930,1232,0
7378,38.2580,1,350928,870.46400,1782120,1223,0
7389,38.3212,1,343046,869.64300,1781350,1284,0
7400,38.3853,1,95571.8,870.51700,979187,1200,0
7411,38.4485,1,467298,933.52800,2044460,1336,0
7422,38.5115,1,1244350,933.57600,3502550,1188,0
7433,38.5748,1,1559900,933.59500,4278330,1199,0
7444,38.6380,1,1338040,933.53300,3746170,1143,0
7455,38.7018,1,806824,933.51200,2706130,1204,0
7466,38.7650,1,706665,933.53600,2476340,1238,0
7477,38.8288,1,680086,933.54000,2515540,1263,0
7488,38.8918,1,571140,933.52300,2392620,1379,0
7499,38.9542,1,419882,933.54700,2014820,1352,0
7510,39.0173,1,147888,933.57100,1402390,1204,0
7521,39.0810,1,98334.1,933.47600,1203520,1292,0
7532,39.1428,1,35602.3,801.66300,889454,1217,0
7543,39.2063,1,28278.1,802.11800,889688,1216,0
7554,39.2695,1,36903.1,801.63400,727793,1201,0
7565,39.3332,1,31550.4,801.59100,740549,1192,0
7576,39.3962,1,35204.1,793.13400,862020,1225,0
7587,39.4597,1,37028.7,842.46600,880948,1239,0
