scan_num, scan_time, type, bpi, bpi_mz, tic, num_peaks, num_deisotoped
1,0.0046,2,0.9460569,599.35400,2.818894,3,0
2,0.0055,2,0.965589,724.39697,2.886613,3,0
3,0.0065,2,0.9397229,511.32303,2.794966,3,0
4,0.0074,2,0.9643423,615.39600,2.812972,3,0
5,0.0083,2,0.9357615,685.39099,3.657912,4,0
6,0.0096,2,0.9173169,607.37695,2.732139,3,0
7,0.0105,2,0.9236412,383.74301,2.736406,3,0
8,0.0115,2,0.9381406,723.88196,3.639696,4,0
9,0.0127,2,0.9521303,560.28894,2.801002,3,0
10,0.0137,2,0.9365548,694.88000,2.75713,3,0
11,0.0146,2,0.939113,213.15999,2.699674,3,0
12,0.0156,2,0.9303475,510.78403,2.749425,3,0
13,0.0165,2,0.9459336,890.51892,2.747187,3,0
14,0.0174,2,0.9455699,724.39697,2.820317,3,0
15,0.0184,2,0.9449127,540.81091,2.771745,3,0
16,0.0193,2,0.9477246,763.45898,2.772245,3,0
17,0.0203,2,0.9783558,1072.56604,2.895565,3,0
18,0.0212,2,1.000942,345.14005,2.909822,3,0
19,0.0222,2,0.9531192,426.26999,2.816828,3,0
20,0.0231,2,0.9775077,1030.09802,2.882926,3,0
21,0.0241,2,0.9993148,1219.52905,2.851549,3,0
22,0.0250,2,0.9694664,1131.54199,2.809677,3,0
23,0.0262,2,0.9217975,599.35400,2.726865,3,0
24,0.0272,2,0.9796541,510.26602,2.835138,3,0
25,0.0281,2,0.9261675,511.32303,2.760486,3,0
26,0.0290,2,1.008934,615.39600,2.92172,3,0
27,0.0299,2,0.9794666,441.26004,3.780296,4,0
28,0.0312,2,0.9845907,506.32999,2.934459,3,0
29,0.0321,2,1.007408,383.74301,2.850272,3,0
30,0.0331,2,0.9771276,667.33997,3.72455,4,0
31,0.0344,2,0.9632532,429.24802,2.770894,3,0
32,0.0353,2,0.9261379,694.88000,2.712508,3,0
33,0.0362,2,0.9183728,972.48193,2.696528,3,0
34,0.0372,2,0.9230396,696.38196,2.746108,3,0
35,0.0381,2,0.9388595,890.51892,2.750661,3,0
36,0.0391,2,0.9391965,510.26602,2.752087,3,0
37,0.0400,2,0.9090116,951.57202,2.708439,3,0
38,0.0409,2,0.9489776,519.33801,2.784658,3,0
39,0.0419,2,0.9552816,672.37000,2.825666,3,0
40,0.0428,2,0.9792109,881.51196,2.891324,3,0
41,0.0438,2,0.952835,1034.52502,2.793142,3,0
42,0.0447,2,0.9548154,1030.09802,2.758016,3,0
43,0.0457,2,0.9988127,1219.52905,2.919686,3,0
44,0.0466,2,1.014209,1131.54199,2.9124,3,0
45,0.0481,2,0.9458436,542.33191,2.780682,3,0
46,0.0490,2,0.9261167,510.26602,2.726699,3,0
47,0.0499,2,0.9741654,624.40698,2.854859,3,0
48,0.0509,2,0.9438882,502.31204,2.792416,3,0
49,0.0518,2,0.9929493,685.39099,3.891375,4,0
50,0.0531,2,0.9645718,506.32999,2.82348,3,0
51,0.0540,2,0.9285204,766.47803,2.730412,3,0
52,0.0550,2,0.916595,784.38196,3.609909,4,0
53,0.0562,2,0.9477457,560.28894,2.8205,3,0
54,0.0572,2,0.9807143,824.48596,2.810032,3,0
55,0.0581,2,0.9298408,873.41296,2.753161,3,0
56,0.0591,2,0.937496,696.38196,2.732614,3,0
57,0.0600,2,0.9349273,989.58801,2.759269,3,0
58,0.0609,2,0.9221075,724.39697,2.761697,3,0
59,0.0618,2,0.9851986,951.57202,2.812555,3,0
60,0.0628,2,0.967638,519.33801,2.795642,3,0
61,0.0638,2,0.9430591,1072.56604,2.777017,3,0
62,0.0647,2,0.9388002,881.51196,2.771916,3,0
63,0.0657,2,0.9716054,1034.52502,2.859967,3,0
64,0.0666,2,0.9384823,1030.09802,2.794802,3,0
65,0.0676,2,0.9207543,860.43201,2.71738,3,0
66,0.0685,2,1.020221,1131.54199,2.907078,3,0
67,0.0697,2,0.9430047,263.66104,2.763569,3,0
68,0.0706,2,0.9562178,510.26602,2.807168,3,0
69,0.0716,2,0.9347285,624.40698,2.801885,3,0
70,0.0725,2,0.932874,728.47998,2.749383,3,0
71,0.0734,2,0.9341318,441.26004,3.687413,4,0
72,0.0747,2,0.9315439,409.26102,2.743617,3,0
73,0.0756,2,0.947974,556.34094,2.790691,3,0
74,0.0766,2,0.984616,897.46594,3.714381,4,0
75,0.0778,2,1.002355,429.24802,2.8763,3,0
76,0.0788,2,0.9693349,759.40100,2.844801,3,0
77,0.0797,2,1.001399,972.48193,2.922261,3,0
78,0.0807,2,0.9607927,559.32300,2.855755,3,0
79,0.0816,2,0.9677464,777.43494,2.820205,3,0
80,0.0825,2,0.9957271,510.26602,2.874417,3,0
81,0.0835,2,1.0105,540.81091,2.892274,3,0
82,0.0844,2,0.9480478,519.33801,2.788234,3,0
83,0.0854,2,0.9353342,1072.56604,2.723777,3,0
84,0.0863,2,0.9495174,1239.62500,2.763761,3,0
85,0.0873,2,0.955494,1034.52502,2.824753,3,0
86,0.0882,2,0.9496886,1030.09802,2.753194,3,0
87,0.0892,2,0.9362721,1219.52905,2.771624,3,0
88,0.0901,2,0.9786354,1131.54199,2.867749,3,0
89,0.0916,2,0.9373252,263.66104,2.769768,3,0
90,0.0925,2,0.9354417,510.26602,2.715599,3,0
91,0.0934,2,0.9663786,511.32303,2.836252,3,0
92,0.0943,2,0.9240634,502.31204,2.741211,3,0
93,0.0953,2,0.945162,441.26004,3.696981,4,0
94,0.0965,2,0.947518,506.32999,2.777405,3,0
95,0.0975,2,0.9504849,766.47803,2.801427,3,0
96,0.0984,2,0.9364908,723.88196,3.649535,4,0
97,0.0997,2,0.9647853,429.24802,2.753987,3,0
98,0.1006,2,0.9449864,824.48596,2.727951,3,0
99,0.1016,2,0.9423952,972.48193,2.787745,3,0
100,0.1025,2,1.019751,559.32300,2.92357,3,0
101,0.1035,2,0.9448407,989.58801,2.787709,3,0
102,0.1044,2,0.9300199,1019.52502,2.757373,3,0
103,0.1053,2,0.9527914,854.51892,2.765978,3,0
104,0.1063,2,0.9615452,519.33801,2.815146,3,0
105,0.1072,2,0.9871569,1072.56604,2.825214,3,0
106,0.1082,2,1.063171,1239.62500,2.974679,3,0
107,0.1091,2,0.9985291,1034.52502,2.838231,3,0
108,0.1101,2,1.045741,1030.09802,3.018205,3,0
109,0.1110,2,1.00305,1219.52905,2.969787,3,0
110,0.1120,2,1.042807,1131.54199,2.989143,3,0
111,0.1132,2,0.9639831,263.66104,2.758817,3,0
112,0.1142,2,0.9271296,510.26602,2.734699,3,0
113,0.1151,2,1.001704,511.32303,2.863026,3,0
114,0.1160,2,0.9297485,502.31204,2.744421,3,0
115,0.1169,2,0.9362422,685.39099,3.672343,4,0
116,0.1182,2,0.9403105,506.32999,2.730283,3,0
117,0.1192,2,0.9457573,383.74301,2.812489,3,0
118,0.1201,2,0.9324495,897.46594,3.677927,4,0
119,0.1214,2,0.9733374,631.32593,2.875921,3,0
120,0.1223,2,1.027679,824.48596,2.930182,3,0
121,0.1232,2,0.9565468,972.48193,2.827947,3,0
122,0.1242,2,1.025591,696.38196,2.954634,3,0
123,0.1251,2,1.025879,777.43494,2.936478,3,0
124,0.1261,2,0.9601839,1019.52502,2.810619,3,0
125,0.1270,2,0.9461564,854.51892,2.788051,3,0
126,0.1279,2,0.9358367,763.45898,2.768029,3,0
127,0.1289,2,1.050148,1072.56604,2.986196,3,0
128,0.1298,2,0.9733561,1239.62500,2.837044,3,0
129,0.1308,2,0.9176364,1034.52502,2.745856,3,0
130,0.1318,2,0.9255623,1030.09802,2.740129,3,0
131,0.1327,2,1.024636,1219.52905,2.958298,3,0
132,0.1337,2,0.9620762,1341.67896,2.852935,3,0
133,0.1349,2,0.949867,263.66104,2.745044,3,0
134,0.1358,2,0.960858,724.39697,2.870282,3,0
135,0.1367,2,1.066449,511.32303,3.105101,3,0
136,0.1376,2,1.028551,502.31204,2.928714,3,0
137,0.1386,2,0.9809209,685.39099,3.781919,4,0
138,0.1398,2,0.9711605,409.26102,2.868281,3,0
139,0.1408,2,0.9321708,766.47803,2.749073,3,0
140,0.1417,2,0.9358559,667.33997,3.627004,4,0
141,0.1430,2,0.935336,560.28894,2.713263,3,0
142,0.1439,2,0.9526366,694.88000,2.823484,3,0
143,0.1449,2,0.9610163,873.41296,2.810387,3,0
144,0.1458,2,0.9522048,510.78403,2.787316,3,0
145,0.1468,2,0.9682296,890.51892,2.824528,3,0
146,0.1477,2,0.9806007,724.39697,2.908202,3,0
147,0.1486,2,0.9281894,854.51892,2.739561,3,0
148,0.1496,2,0.9372002,252.17998,2.775405,3,0
149,0.1505,2,0.9820999,1072.56604,2.741192,3,0
150,0.1515,2,0.9720236,345.14005,2.845525,3,0
151,0.1524,2,0.9422367,1034.52502,2.740684,3,0
152,0.1534,2,0.9738175,1030.09802,2.81761,3,0
153,0.1543,2,0.9921235,1219.52905,2.848901,3,0
154,0.1553,2,0.973716,1341.67896,2.90754,3,0
155,0.1565,2,1.003702,263.66104,2.903609,3,0
156,0.1574,2,0.9827417,510.26602,2.846878,3,0
157,0.1583,2,1.102174,265.11801,2.974945,3,0
158,0.1593,2,0.9598955,615.39600,2.817488,3,0
159,0.1602,2,0.9703348,685.39099,3.761396,4,0
160,0.1614,2,0.965552,409.26102,2.788865,3,0
161,0.1624,2,0.9386263,383.74301,2.787386,3,0
162,0.1633,2,0.9358441,897.46594,3.643914,4,0
163,0.1646,2,0.9999251,560.28894,2.834864,3,0
164,0.1655,2,0.9877341,694.88000,2.865288,3,0
165,0.1665,2,0.9384874,213.15999,2.743646,3,0
166,0.1674,2,0.9588776,559.32300,2.800084,3,0
167,0.1684,2,0.9108356,989.58801,2.689593,3,0
168,0.1693,2,0.9136907,510.26602,2.684647,3,0
169,0.1702,2,0.9144397,951.57202,2.688535,3,0
170,0.1712,2,0.9432634,519.33801,2.788403,3,0
171,0.1721,2,0.9937075,1072.56604,2.823419,3,0
172,0.1731,2,0.9958282,345.14005,2.887554,3,0
173,0.1740,2,0.9410269,1034.52502,2.798997,3,0
174,0.1750,2,0.9533698,794.97998,2.809448,3,0
175,0.1759,2,0.9829354,1219.52905,2.823563,3,0
176,0.1769,2,0.9337777,1341.67896,2.782948,3,0
177,0.1781,2,0.9209221,542.33191,2.729692,3,0
178,0.1790,2,0.915895,510.26602,2.703299,3,0
179,0.1800,2,0.9446703,511.32303,2.764427,3,0
180,0.1809,2,0.9682621,502.31204,2.820771,3,0
181,0.1818,2,0.9506124,881.51196,3.716608,4,0
182,0.1831,2,0.961575,409.26102,2.794393,3,0
183,0.1840,2,1.012289,383.74301,2.840894,3,0
184,0.1850,2,0.9886127,723.88196,3.80486,4,0
185,0.1862,2,8.528815,560.28894,10.3518,3,0
186,0.1872,2,3.260331,824.48596,5.136932,3,0
187,0.1881,2,366.913,213.15999,368.7841,3,0
188,0.1891,2,335.7366,559.32300,337.4752,3,0
189,0.1900,2,0.9725313,989.58801,2.883494,3,0
190,0.1909,2,9.846738,510.26602,11.67689,3,0
191,0.1919,2,184.8297,951.57202,358.6676,3,0
192,0.1928,2,100.1177,519.33801,150.6509,3,0
193,0.1938,2,114.8827,1072.56604,175.6926,3,0
194,0.1947,2,143.0077,345.14005,144.8905,3,0
195,0.1957,2,308.8621,1034.52502,310.7638,3,0
196,0.1966,2,0.9688103,794.97998,2.886863,3,0
197,0.1976,2,228.1862,860.43201,353.7123,3,0
198,0.1985,2,0.9669077,1341.67896,2.835474,3,0
199,0.1997,2,544.2045,263.66104,683.0921,3,0
200,0.2007,2,162.7993,583.79993,193.291,3,0
201,0.2016,2,528.4205,265.11801,530.2653,3,0
202,0.2025,2,0.9405249,502.31204,2.763494,3,0
203,0.2034,2,173.3189,441.26004,176.0858,4,0
204,0.2047,2,157.3101,409.26102,186.7685,3,0
205,0.2056,2,0.9344016,556.34094,2.752361,3,0
206,0.2066,2,0.9802638,897.46594,3.774076,4,0
207,0.2079,2,258.3607,631.32593,344.4382,3,0
208,0.2088,2,8.383553,824.48596,10.19442,3,0
209,0.2097,2,330.9561,213.15999,332.8147,3,0
210,0.2107,2,188.8056,559.32300,192.8222,3,0
211,0.2116,2,0.9595647,777.43494,2.853984,3,0
212,0.2126,2,2.369881,510.26602,4.221799,3,0
213,0.2135,2,76.82446,540.81091,78.75537,3,0
214,0.2144,2,0.9308055,763.45898,2.769132,3,0
215,0.2154,2,0.9526417,1072.56604,2.71626,3,0
216,0.2163,2,256.2782,345.14005,365.3528,3,0
217,0.2173,2,71.0527,426.26999,72.98516,3,0
218,0.2182,2,1.053134,980.56396,3.073671,3,0
219,0.2192,2,2.142732,429.24802,4.15381,3,0
220,0.2201,2,3.471001,671.34302,5.448717,3,0
221,0.2214,2,651.076,263.66104,652.9433,3,0
222,0.2223,2,2.039071,510.26602,4.035999,3,0
223,0.2232,2,754.321,265.11801,756.8914,3,0
224,0.2241,2,0.9585455,502.31204,2.833113,3,0
225,0.2250,2,0.9461209,441.26004,3.641493,4,0
226,0.2263,2,4.337054,409.26102,6.239243,3,0
227,0.2273,2,0.9986205,383.74301,2.909422,3,0
228,0.2282,2,0.951497,897.46594,3.660032,4,0
229,0.2295,2,128.3684,429.24802,130.205,3,0
230,0.2304,2,0.9432579,759.40100,2.788007,3,0
231,0.2314,2,412.9056,213.15999,414.7271,3,0
232,0.2323,2,90.72653,559.32300,115.7252,3,0
233,0.2333,2,0.9505845,890.51892,2.808982,3,0
234,0.2342,2,3.286479,510.26602,5.107739,3,0
235,0.2351,2,0.9398925,854.51892,2.743763,3,0
236,0.2361,2,31.46429,252.17998,33.3451,3,0
237,0.2370,2,3.815895,672.37000,5.7205,3,0
238,0.2380,2,0.9598459,1239.62500,2.825223,3,0
239,0.2389,2,0.9257064,1034.52502,2.742492,3,0
240,0.2399,2,0.9908344,794.97998,2.908637,3,0
241,0.2408,2,0.9778727,860.43201,2.866164,3,0
242,0.2418,2,0.9625414,1341.67896,2.770712,3,0
243,0.2432,2,423.7617,263.66104,427.3688,3,0
244,0.2441,2,0.9948081,724.39697,2.814275,3,0
245,0.2451,2,548.139,265.11801,551.6583,3,0
246,0.2460,2,36.15112,728.47998,37.99172,3,0
