Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed	InterferenceScore
667076	0	368.71	0	1	19229	-1	0	18701	19691	19229	77566	1002	64	6.1634E+06	0	77.432	332	2763	6.0204E+06	19227	43.5	-0.01458	0.2987	11	0
667076	1	368.71	0	1	19801	-1	0	19141	20197	19801	17279	658.6	79	1.7186E+06	0	26.235	118	2762	1.5926E+06	19789	44.9	-0.1266	0.282	11	0
667076	2	368.71	0	1	19801	-1	0	19295	20307	19801	72894	1721	67	6.3755E+06	0	42.354	346	2762	6.0258E+06	19787	45.6	-0.1468	0.2912	11	0
667076	3	427.231	0	2	20396	-1	0	20022	20902	20396	221294	2399	55	1.3963E+07	0	92.236	580	2764	1.4587E+07	20404	39.8	0.02451	0.3112	10	0
667076	4	427.231	0	2	20396	-1	0	20044	20880	20396	111852	2234	52	6.7797E+06	0	50.059	201	1226	6.9668E+06	20404	39.6	0.03113	0.3106	10	0
667076	5	427.231	0	2	20396	-1	0	20044	20770	20396	95222	3201	56	5.8967E+06	0	29.746	213	2764	6.1977E+06	20403	39.8	0.03466	0.3098	10	0
667076	6	458.76	0	3	23697	-1	0	23345	24203	23697	60409	791.1	95	6.1001E+06	0	76.363	213	1326	6.226E+06	23706	42.7	0.01287	0.2948	10	0
667076	7	458.76	0	3	23697	-1	0	23345	24225	23697	37308	441.4	98	3.8099E+06	0	84.525	300	2759	3.8278E+06	23705	44.4	-0.0304	0.2767	11	0
667076	8	458.76	0	3	23697	-1	0	23323	24071	23697	106940	1695	96	1.0574E+07	0	63.079	437	2762	1.0989E+07	23703	43.7	-0.02643	0.2887	11	0
667076	9	486.778	0	4	20068	-1	0	19716	20574	20068	136069	1888	50	8.0258E+06	0	72.061	588	2759	8.5177E+06	20075	40.1	0.02553	0.311	10	0
667076	10	486.778	0	4	21630	-1	0	21168	22334	21630	48803	403.9	56	4.9423E+06	0	120.84	398	1264	3.4299E+06	21642	41.5	0.02725	0.2875	10	0
667076	11	486.778	0	4	30518	-1	0	30144	30914	30518	4168.5	62.68	115	487795	0	66.502	161	1721	467376	30527	49.4	0.01099	0.2821	12	0
667076	12	490.249	0	5	27901	-1	0	27351	29155	27901	5909.7	72.6	183	1.4565E+06	0	81.396	197	1450	1.2092E+06	27882	84.3	-0.2982	0.2249	20	0
667076	13	490.249	0	5	27901	-1	0	27241	28583	27901	7018.3	174.8	203	1.6715E+06	0	40.14	121	1251	1.5342E+06	27897	86	-0.08723	0.213	20	0
667076	14	490.249	0	5	27901	-1	0	27351	28627	27901	15493	248.6	210	3.6306E+06	0	62.316	236	1453	3.4569E+06	27888	90.8	-0.2129	0.2083	21	0
667076	15	490.249	0	5	27901	-1	0	27505	28451	27901	6606.6	663.1	208	1.5332E+06	0	9.9635	56.3	1450	1.4956E+06	27887	92.7	-0.03428	0.2039	22	0
