Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName
667076	5000	4.9301	2	22.152	20.224	607.377	20.22	3	3	CID-SRM
667076	5001	4.9311	2	2.8881	0.96872	556.3409	0.9687	3	3	CID-SRM
667076	5002	4.9320	2	3.6642	1.0437	723.882	1.044	4	4	CID-SRM
667076	5003	4.9333	2	2.7765	0.93311	631.3259	0.9331	3	3	CID-SRM
667076	5004	4.9342	2	2.7688	0.95213	824.486	0.9521	3	3	CID-SRM
667076	5005	4.9352	2	3.4594	1.6192	972.4819	1.619	3	3	CID-SRM
667076	5006	4.9361	2	139.81	137.97	510.784	138	3	3	CID-SRM
667076	5007	4.9371	2	2.8092	0.9486	777.4349	0.9486	3	3	CID-SRM
667076	5008	4.9380	2	2.8271	0.97445	510.266	0.9745	3	3	CID-SRM
667076	5009	4.9389	2	2.7268	0.91244	951.572	0.9124	3	3	CID-SRM
667076	5010	4.9399	2	3.0211	1.0337	519.338	1.032	3	3	CID-SRM
667076	5011	4.9408	2	2.8109	0.98329	1072.566	0.9833	3	3	CID-SRM
667076	5012	4.9418	2	2.9529	1.0112	345.14	1.011	3	3	CID-SRM
667076	5013	4.9427	2	2.8426	0.97834	426.27	0.9783	3	3	CID-SRM
667076	5014	4.9437	2	2.8416	0.97927	980.564	0.9793	3	3	CID-SRM
667076	5015	4.9446	2	2.8225	1.0027	1219.5291	1.003	3	3	CID-SRM
667076	5016	4.9456	2	2.7832	0.92965	1341.679	0.9296	3	3	CID-SRM
667076	5017	4.9468	2	212.45	109.29	542.3319	109.3	3	3	CID-SRM
667076	5018	4.9477	2	4.1313	2.2514	510.266	2.251	3	3	CID-SRM
667076	5019	4.9486	2	2.812	0.95871	265.118	0.9587	3	3	CID-SRM
667076	5020	4.9495	2	17.017	15.218	502.312	15.22	3	3	CID-SRM
