scan_num, scan_time, type, bpi, bpi_mz, tic, num_peaks, num_deisotoped
4000,55.0797,2,4408328.5,648.82233,20760622,47,0
4001,55.0877,2,904312.06,1080.56787,18533512,222,0
4002,55.0960,2,211678.92,552.97449,2624470.75,101,0
4003,55.1072,2,63044.29,623.80664,360242.56,27,0
4004,55.1203,2,594033.25,1126.08630,2793920.25,80,0
4006,55.1450,2,187855.13,1486.78735,5446305,328,0
4007,55.1668,2,449424.16,905.92108,6839492,112,0
4008,55.1770,2,77605.11,523.29779,825556.38,48,0
4009,55.1888,2,189437.55,863.92963,2221294.25,103,0
4010,55.1972,2,314722.25,1486.78821,9558238,392,0
4011,55.2095,2,18258.96,914.42218,348172.5,57,0
4013,55.2375,2,523549.13,689.85449,2707309.75,78,0
4014,55.2527,2,352407.16,914.01733,6319059,246,0
4015,55.2670,2,41457.21,723.88049,940921.75,65,0
4016,55.2782,2,576480.06,554.30096,4269761.5,97,0
4017,55.2873,2,1049931.88,689.85498,8171812,116,0
4018,55.2972,2,51897.14,650.38586,759499.13,47,0
4020,55.3187,2,800144.69,565.31128,4606986.5,84,0
4021,55.3320,2,494891.78,715.34290,3685947,118,0
4022,55.3417,2,362455.69,1795.86072,1897345.25,115,0
4023,55.3602,2,170340.08,966.49390,2521757,101,0
4024,55.3705,2,635795.56,905.91986,6805641,85,0
4025,55.3795,2,760551,625.82050,5485782.5,82,0
4027,55.3992,2,6893232.5,658.41022,26611336,78,0
4028,55.4075,2,13266027,657.90985,59093152,94,0
4029,55.4165,2,633691.75,620.37653,2692098,77,0
4030,55.4265,2,12397795,657.91046,64603640,111,0
4031,55.4338,2,108738.56,603.32782,1520878.13,70,0
4032,55.4455,2,132335.44,1082.51392,1431713.25,73,0
4034,55.4758,2,3617465.25,657.90942,31160098,106,0
4035,55.4875,2,4894552.5,658.41077,40106020,113,0
4036,55.4977,2,2037333.25,648.90393,14542360,118,0
4037,55.5057,2,105305.71,641.36273,1158856.75,59,0
4038,55.5170,2,417712.09,565.27795,2993807.5,46,0
4039,55.5270,2,551417.31,915.01758,8215646.5,137,0
4041,55.5465,2,995257.94,540.79510,5117939.5,76,0
4042,55.5588,2,557061.81,896.41113,9306088,136,0
4043,55.5657,2,253165.39,505.27011,5766736,173,0
4044,55.5775,2,71944.23,606.63147,1495818,71,0
4045,55.5885,2,230730.25,541.33167,2187936.75,87,0
4046,55.6015,2,1160584,896.41150,19924554,141,0
4048,55.6208,2,4129835,540.79596,19738294,112,0
4049,55.6332,2,425961.44,390.68124,3320542,78,0
4050,55.6440,2,240861.53,870.92047,2020420.25,76,0
4051,55.6545,2,65872.12,990.56073,434451.78,52,0
4052,55.6717,2,575912.56,990.56171,5626047.5,188,0
4053,55.6913,2,33114.81,191.66052,308309.59,20,0
4055,55.7100,2,670025.19,733.34741,3001618,53,0
4056,55.7260,2,2635545.25,333.19281,7814481,54,0
4057,55.7367,2,102780.75,899.41516,1160750.5,40,0
4058,55.7455,2,1752743.88,540.79596,11661687,125,0
4059,55.7543,2,194821.8,644.83630,1106131.13,51,0
4060,55.7678,2,135224.09,597.30389,1660268.38,80,0
4062,55.7867,2,500017.69,1080.58643,2692312.25,67,0
4063,55.8042,2,724340.88,1081.58948,6456164,124,0
4064,55.8167,2,164229.73,916.97473,2268419,179,0
4065,55.8348,2,29967.22,711.84918,367549.78,40,0
4066,55.8498,2,418981.28,650.40741,3310648,76,0
4067,55.8597,2,51604.17,787.41211,542215.81,53,0
4069,55.8810,2,1090843.75,972.44403,10392478,225,0
4070,55.9005,2,29098882,540.79633,173042272,95,0
4071,55.9083,2,799790.06,191.66470,8189703.5,17,0
4072,55.9162,2,1597108.5,805.42273,10886723,84,0
4073,55.9268,2,52624.11,666.37811,742204.81,68,0
4074,55.9440,2,3805482.25,450.21024,19211278,29,0
4076,55.9593,2,262707.88,760.36810,2063941.5,59,0
4077,55.9735,2,240940.3,762.45001,2479581.25,150,0
4078,55.9915,2,443674.31,480.25906,6357828,107,0
4079,56.0032,2,152192.52,828.40192,698519,54,0
4080,56.0225,2,54073.35,1126.56580,663130.25,85,0
4081,56.0382,2,105639.04,1126.56641,1444756.5,112,0
4083,56.0667,2,424408.84,191.66121,3628334.75,15,0
4084,56.0775,2,19942.02,784.42926,169413.22,32,0
4085,56.0977,2,131326.02,554.97333,1591457,93,0
4086,56.1112,2,6350.86,316.94983,77316.33,11,0
4087,56.1240,2,156296.44,1018.45007,2116784.75,159,0
4088,56.1435,2,296530.09,649.03210,1397534.13,66,0
4090,56.1677,2,1014695.5,649.36591,5485531,95,0
4091,56.1797,2,2397097.75,805.42261,14733752,109,0
4092,56.1885,2,193514.61,435.79645,1244230.63,54,0
4093,56.2000,2,1183113.88,1434.84277,7204827.5,172,0
4094,56.2097,2,602455.69,730.40491,2281948.75,63,0
