Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed	InterferenceScore
0	0	1135.5569	4005	4006	4033	-1	0	4005	4082	4033	1.2965E+07	20.67	36	5.0917E+08	2.0032E+06	627271	2.38E+06	93	4.8047E+08	4032	14.2	0.001729	0.3006	11	0
0	0	1135.5569	4005	4010	4033	-1	0	4005	4082	4033	1.2965E+07	20.67	36	5.0917E+08	2.0032E+06	627271	2.38E+06	93	4.8047E+08	4032	14.2	0.001729	0.3006	11	0
0	1	696.3727	4005	4007	4033	-1	0	4005	4138	4033	1.7918E+07	29.72	40	8.2447E+08	2.4837E+06	602890	2.43E+06	141	7.5289E+08	4037	16	0.02521	0.2665	12	0
0	2	540.6323	4005	4008	4040	-1	0	4005	4096	4040	2.556E+07	32.8	39	1.0628E+09	3.0202E+06	779252	3.33E+06	141	9.9782E+08	4041	15.7	0.04736	0.2831	12	0
0	3	789.1213	4005	4009	4026	-1	0	4005	4068	4026	3.1927E+06	49.84	19	1.1586E+08	1.8525E+06	64057	344643	141	1.1154E+08	4024	12.4	0.1357	0.3011	9	0
0	4	923.4307	4005	4011	4019	-1	0	4005	4061	4019	2.5851E+06	30.41	13	6.0612E+07	1.8884E+06	84997	263612	141	5.1786E+07	4019	10.7	0.2591	0.3242	8	0
0	5	810.4456	4012	4013	4040	-1	0	4005	4096	4040	2.6885E+07	29.87	44	1.2319E+09	5.8365E+06	900120	3.71E+06	141	1.159E+09	4043	16.1	0.003964	0.2808	12	0
0	5	810.4456	4012	4017	4040	-1	0	4005	4096	4040	2.6885E+07	29.87	44	1.2319E+09	5.8365E+06	900120	3.71E+06	141	1.159E+09	4043	16.1	0.003964	0.2808	12	0
0	6	1044.0615	4012	4014	4040	-1	0	4005	4208	4040	1.5499E+07	31.36	40	6.7938E+08	5.0275E+06	494212	1.94E+06	141	6.0712E+08	4039	16.9	0.06369	0.2575	13	0
0	7	577.6418	4012	4015	4026	-1	0	4005	4068	4026	2.8833E+06	61.44	29	7.7356E+07	1.8391E+06	46926	217568	141	7.4774E+07	4025	12.9	0.161	0.3003	10	0
0	8	607.9824	4012	4016	4033	-1	0	4005	4068	4033	5.9156E+06	8.543	36	2.4379E+08	4.7737E+06	692462	2.24E+06	140	1.9675E+08	4030	13.3	-0.07195	0.3282	10	0
0	9	680.3472	4012	4018	4033	-1	0	4005	4082	4033	7.6017E+06	29.66	33	2.7235E+08	3.9536E+06	256269	726779	140	2.6874E+08	4034	14	-0.05198	0.3056	11	0
0	10	583.3198	4019	4020	4033	-1	0	4005	4075	4033	4.9661E+06	38.07	29	1.7015E+08	3.9911E+06	130440	518085	141	1.6721E+08	4030	13.6	-0.03008	0.2875	10	0
0	11	911.4736	4019	4021	4033	-1	0	4005	4068	4033	4.4329E+06	4.315	38	1.9312E+08	3.3931E+06	1.0273E+06	2.66E+06	93	1.2059E+08	4032	12.8	-0.1607	0.3367	10	0
0	12	1020.0176	4019	4022	4040	-1	0	4005	4089	4040	5.2797E+06	14.46	33	1.9472E+08	3.0068E+06	365023	1.02E+06	94	1.7049E+08	4038	14.2	0.04763	0.2968	11	0
0	13	653.3284	4019	4023	4026	-1	0	4005	4082	4026	2.4768E+06	15.06	29	8.6095E+07	2.2772E+06	164486	494196	142	7.3314E+07	4027	13.7	0.1446	0.2891	10	0
0	14	695.993	4019	4024	4033	1	0	4005	4068	4019	1.9615E+06	50.11	25	5.6241E+07	2.1402E+06	39140	156987	141	5.2726E+07	4023	12.1	0.1892	0.3138	9	0
0	15	513.2496	4019	4025	4033	-1	0	4005	4061	4033	3.355E+06	1.819	27	1.248E+08	4.1241E+06	1.8439E+06	3.28E+06	143	3.5094E+07	4033	8.52	0.03265	0.3672	7	0
0	16	510.9673	4026	4027	4061	-1	0	4005	4117	4061	1.054E+08	34.6	29	4.8321E+09	2.7258E+07	3.0467E+06	1.26E+07	141	4.5149E+09	4059	16.3	-0.07962	0.2665	12	0
0	16	510.9673	4026	4028	4061	-1	0	4005	4117	4061	1.054E+08	34.6	29	4.8321E+09	2.7258E+07	3.0467E+06	1.26E+07	141	4.5149E+09	4059	16.3	-0.07962	0.2665	12	0
0	17	466.2765	4026	4029	4047	-1	0	4005	4096	4047	2.2226E+07	60.47	27	7.0127E+08	6.5451E+06	367526	1.98E+06	141	7.0418E+08	4050	13.5	-0.01313	0.3089	10	0
0	18	512.5985	4026	4030	4040	-1	0	4005	4082	4040	4.8115E+06	87.45	26	1.335E+08	3.1296E+06	55019	283297	140	1.3646E+08	4040	13.7	0.01199	0.3002	11	0
0	19	611.976	4026	4031	4033	-1	0	4005	4082	4033	2.7356E+06	53.57	32	9.9455E+07	3.0094E+06	51066	213448	140	9.8114E+07	4035	14.7	-0.04306	0.2764	11	0
0	20	1428.7412	4026	4032	4026	-1	0	4005	4075	4026	4.3195E+06	34.06	23	1.124E+08	3.1767E+06	126824	486965	93	1.0645E+08	4029	13.6	0.02664	0.2912	10	0
0	21	765.9485	4033	4034	4061	-1	0	4012	4110	4061	1.6969E+08	59	33	6.0289E+09	2.5742E+07	2.8764E+06	1.4E+07	140	5.8525E+09	4061	14.9	-0.007416	0.2845	11	0
0	21	765.9485	4033	4035	4061	-1	0	4012	4110	4061	1.6969E+08	59	33	6.0289E+09	2.5742E+07	2.8764E+06	1.4E+07	140	5.8525E+09	4061	14.9	-0.007416	0.2845	11	0
0	22	657.9112	4033	4036	4054	-1	0	4012	4103	4054	2.4111E+07	73.43	22	6.4125E+08	4.014E+06	328357	1.67E+06	141	6.4089E+08	4056	13.8	-0.02825	0.2958	11	0
0	23	671.992	4033	4037	4033	-1	0	4033	4061	4033	4.1289E+06	10.53	22	8.0859E+07	2.9662E+06	391982	728544	141	6.9959E+07	4043	10.1	0.5921	0.4338	7	0
0	24	457.715	4033	4038	4075	-1	0	4026	4194	4075	3.0695E+08	18.63	63	1.8345E+10	1.4734E+07	1.6474E+07	5.22E+07	142	1.6143E+10	4090	26.4	0.4887	0.4257	18	0
0	25	698.9114	4033	4039	4054	-1	0	4012	4096	4054	1.8398E+07	101.9	26	5.2722E+08	7.4051E+06	180582	1.05E+06	140	5.4354E+08	4054	13.7	0.007181	0.2998	11	0
0	26	432.2321	4040	4041	4089	-1	0	4026	4229	4089	2.2177E+08	23.05	52	1.1042E+10	8.6032E+07	9.6211E+06	3.21E+07	142	9.7472E+09	4096	21.7	0.1542	0.2388	16	0
0	27	914.4216	4040	4042	4075	-1	0	4026	4187	4075	3.3669E+08	20.3	49	1.8773E+10	1.1288E+08	1.6585E+07	5.52E+07	142	1.6685E+10	4088	23.6	0.4351	0.3185	17	0
0	28	730.0124	4040	4043	4033	-1	0	4005	4075	4033	2.4896E+06	2.894	31	1.0596E+08	2.6264E+06	860185	3.05E+06	140	4.9195E+07	4037	11.2	0.1028	0.3147	9	0
0	29	683.0186	4040	4044	4061	-1	0	4012	4110	4061	1.4751E+07	38.38	24	4.1385E+08	4.6125E+06	384365	1.21E+06	141	4.0349E+08	4060	13.6	0.0296	0.2953	11	0
0	30	438.9426	4040	4045	4047	-1	0	4005	4103	4047	3.7064E+06	90.53	27	1.1325E+08	3.6248E+06	40941	222096	140	1.1313E+08	4050	13.7	0.02092	0.2875	10	0
0	31	915.4247	4040	4046	4075	27	0	4026	4194	4082	1.6471E+08	16.91	51	9.7123E+09	1.3447E+07	9.7386E+06	3.2E+07	143	8.4889E+09	4088	22.8	0.4554	0.2735	17	0
0	32	647.8454	4047	4048	4089	-1	0	4026	4208	4089	1.8812E+08	21.79	57	9.8646E+09	1.1332E+07	8.6338E+06	3.09E+07	142	8.7788E+09	4092	19.7	0.004708	0.2494	14	0
0	33	449.9154	4047	4049	4159	98	0	4005	4082	4054	2.6503E+06	12.53	43	1.0382E+08	2.5221E+06	211471	613058	143	9.3889E+07	4058	15.4	-0.09517	0.3086	11	0
0	34	674.3695	4047	4050	4068	-1	0	4019	4187	4068	7.9332E+06	16.77	55	4.3779E+08	3.6318E+06	473083	1.26E+06	142	3.753E+08	4081	23.7	0.2915	0.3218	16	0
0	35	1530.8947	4047	4051	4061	-1	0	4012	4110	4061	8.0453E+06	65.88	30	2.8228E+08	5.8266E+06	122128	606295	140	2.772E+08	4061	14.6	0.0002914	0.285	11	0
0	35	1530.8947	4047	4052	4061	-1	0	4012	4110	4061	8.0453E+06	65.88	30	2.8228E+08	5.8266E+06	122128	606295	140	2.772E+08	4061	14.6	0.0002914	0.285	11	0
0	36	507.9257	4047	4053	4075	-1	0	4005	4138	4075	2.2614E+06	20.54	54	1.3097E+08	1.3377E+06	110085	390993	142	1.1841E+08	4075	19.9	-0.1699	0.2583	14	0
0	37	751.3596	4054	4055	4082	-1	0	4033	4187	4082	1.7837E+07	21.18	47	9.4985E+08	4.6566E+06	842069	3.02E+06	142	8.4507E+08	4087	18.9	0.2694	0.2658	14	0
0	38	565.2798	4054	4056	4082	-1	0	4026	4187	4082	1.4912E+07	24.01	46	8.2634E+08	4.7958E+06	621196	2.27E+06	141	7.5056E+08	4088	20.9	0.384	0.2961	16	0
0	39	917.4224	4054	4057	4082	-1	0	4026	4145	4082	5.7156E+06	15.83	48	3.0313E+08	2.6182E+06	360953	995108	142	2.6315E+08	4085	19.6	0.3498	0.2572	15	0
0	40	598.3102	4054	4058	4096	-1	0	4033	4194	4096	2.2244E+07	29.28	38	1.0232E+09	2.6352E+06	759762	2.83E+06	141	9.2757E+08	4094	18.5	0.02549	0.2494	14	0
0	41	551.2745	4054	4059	4054	-1	0	4012	4110	4054	3.1081E+06	36.94	24	9.1413E+07	2.6302E+06	84144	258959	141	8.538E+07	4056	14.4	-0.01219	0.2764	11	0
0	42	793.9374	4054	4060	4061	-1	0	4012	4166	4061	4.025E+06	10.99	29	1.5894E+08	4.0065E+06	366188	911109	143	1.2297E+08	4065	15	0.1414	0.2764	11	0
0	43	1294.6871	4061	4062	4089	-1	0	4033	4194	4089	2.436E+07	27.5	37	1.0469E+09	6.4375E+06	885874	3.38E+06	142	9.5015E+08	4091	17.8	0.0961	0.251	14	0
0	43	1294.6871	4061	4063	4089	-1	0	4033	4194	4089	2.436E+07	27.5	37	1.0469E+09	6.4375E+06	885874	3.38E+06	142	9.5015E+08	4091	17.8	0.0961	0.251	14	0
0	44	1024.0236	4061	4064	4061	-1	0	4012	4103	4061	3.746E+06	16.08	16	9.1818E+07	3.1631E+06	233023	699234	142	7.9807E+07	4060	13	-0.04921	0.2875	10	0
0	45	761.3868	4061	4065	4068	-1	0	4012	4166	4068	2.4684E+06	20.11	37	1.0336E+08	1.8122E+06	122732	267809	141	8.7502E+07	4068	17.6	0.02185	0.2575	13	0
0	46	660.3055	4061	4066	4089	-1	0	4040	4138	4089	1.7526E+07	40.47	36	6.6957E+08	3.3627E+06	433063	2.14E+06	141	6.5106E+08	4090	14.5	-0.01381	0.2866	11	0
0	47	533.2829	4061	4067	4075	-1	0	4019	4124	4075	2.5571E+06	36.15	37	9.7468E+07	1.8049E+06	70738	290771	141	9.1859E+07	4072	16	-0.06898	0.2901	12	0
0	48	989.9533	4068	4069	4089	-1	0	4040	4138	4089	4.1675E+07	58.67	27	1.1813E+09	9.1238E+06	710381	3.54E+06	141	1.1597E+09	4090	14.2	0.01022	0.2921	11	0
0	49	647.3642	4068	4070	4089	116	0	4026	4117	4068	1.7939E+06	32.61	22	5.4245E+07	1.8311E+06	55002	152899	141	5.2474E+07	4069	13.7	-0.05223	0.3046	11	0
0	50	456.7063	4068	4071	4075	-1	0	4026	4222	4075	791081	13.62	76	6.5579E+07	1.172E+06	58066	172367	142	5.6856E+07	4093	27	0.1614	0.3203	18	0
0	51	542.6268	4068	4072	4068	-1	0	4019	4117	4068	1.764E+06	4.646	31	7.1342E+07	1.8134E+06	379681	1.76E+06	141	4.6534E+07	4070	12.5	0.02452	0.3159	10	0
0	52	799.4222	4068	4073	4068	-1	0	4019	4124	4068	1.8111E+06	21.82	34	8.0984E+07	1.9022E+06	82992	205037	140	7.4475E+07	4067	15.7	-0.009144	0.2665	12	0
0	53	457.7144	4068	4074	4075	-1	0	4026	4194	4075	3.0695E+08	18.63	63	1.8345E+10	1.4734E+07	1.6474E+07	5.22E+07	142	1.6143E+10	4090	26.4	0.4887	0.4257	18	0
0	54	769.3738	4075	4076	4040	-1	0	4005	4110	4040	9.3774E+06	5.034	78	5.3138E+08	4.058E+06	1.8629E+06	2.42E+06	94	3.44E+08	4060	28.3	0.4492	0.5513	16	0
0	55	969.5193	4075	4077	4096	-1	0	4047	4201	4096	9.417E+06	27.49	37	4.303E+08	3.2926E+06	342570	967296	140	3.9074E+08	4100	16.1	0.04526	0.2665	12	0
0	56	674.3678	4075	4078	4068	-1	0	4019	4187	4068	7.9332E+06	16.77	55	4.3779E+08	3.6318E+06	473083	1.26E+06	142	3.753E+08	4081	23.7	0.2915	0.3218	16	0
