Reporter_Ion	Observation_Rate	Observation_Rate_Top80Pct
Ion_126.128 	91.304          	95.42
Ion_127.125 	89.928          	94.312
Ion_127.131 	16.841          	18.258
Ion_128.128 	18.435          	19.959
Ion_128.134 	20.136          	22.738
Ion_129.131 	93.21           	96.762
Ion_129.138 	93.998          	97.331
Ion_130.135 	92.295          	96.176
Ion_130.141 	93.902          	97.221
Ion_131.138 	93.972          	97.31
Ion_131.144 	91.93           	95.932
Ion_132.142 	94.303          	97.511
Ion_132.148 	94.837          	97.838
Ion_133.145 	93.511          	97.008
Ion_133.151 	94.36           	97.587
Ion_134.148 	94.55           	97.628
