Reporter_Ion	Observation_Rate	Observation_Rate_Top80Pct
Ion_126.128 	94.164          	98.012
Ion_127.125 	95.542          	98.549
Ion_127.131 	96.581          	99.042
Ion_128.128 	95.12           	98.449
Ion_128.134 	95.674          	98.787
Ion_129.131 	97.397          	99.291
Ion_129.138 	97.502          	99.291
Ion_130.135 	95.909          	98.891
Ion_130.141 	97.314          	99.182
Ion_131.138 	96.281          	98.751
Ion_131.144 	95.595          	98.639
Ion_132.142 	94.603          	98.09
Ion_132.148 	40.302          	42.895
Ion_133.145 	3.959           	4.587
Ion_133.151 	0.184           	0.202
Ion_134.148 	0.043           	0.042
