Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName
0	45000	78.5370	2	69374	18345	302.3067	17.4	7	23	HCD-HMSn
0	45001	78.5393	2	56660	38134	209.3212	34.43	1	8	HCD-HMSn
0	45002	78.5415	2	67123	16257	302.311	11.08	6	20	HCD-HMSn
0	45003	78.5437	2	40152	15583	211.5761	14.35	2	14	HCD-HMSn
0	45004	78.5450	1	7.1427E+08	2.0674E+07	811.4067	98.54	1114	1114	MS
0	45005	78.5463	2	178981	37251	1297.7268	10.44	6	19	HCD-HMSn
0	45006	78.5480	2	43587	17640	302.2861	10.15	1	12	HCD-HMSn
0	45007	78.5500	2	228859	20188	120.081	13.48	18	74	HCD-HMSn
0	45008	78.5522	2	64332	12405	302.3064	9.548	5	21	HCD-HMSn
0	45009	78.5543	2	105020	16552	210.0547	13.02	10	39	HCD-HMSn
0	45010	78.5565	2	38611	18919	210.0101	19.47	2	10	HCD-HMSn
0	45011	78.5587	2	20967	6093.8	302.2793	6.524	2	10	HCD-HMSn
0	45012	78.5608	2	154759	10884	120.0809	8.23	14	66	HCD-HMSn
0	45013	78.5630	2	135692	15287	120.0811	9.234	11	48	HCD-HMSn
0	45014	78.5653	2	48869	17677	302.2971	15.14	2	18	HCD-HMSn
0	45015	78.5675	2	61973	38925	209.2692	36.95	1	11	HCD-HMSn
0	45016	78.5697	2	51083	10132	211.5802	9.417	6	15	HCD-HMSn
0	45017	78.5710	1	6.1251E+08	2.9504E+07	798.757	158.1	1071	1071	MS
0	45018	78.5722	2	513470	81135	302.285	7.702	4	25	HCD-HMSn
0	45019	78.5743	2	48212	10590	302.2942	9.115	2	20	HCD-HMSn
0	45020	78.5765	2	102092	29108	209.7452	23.93	7	18	HCD-HMSn
0	45021	78.5787	2	72019	31329	209.2875	29.5	4	15	HCD-HMSn
0	45022	78.5793	2	519529	296080	209.2621	30.27	2	15	HCD-HMSn
0	45023	78.5815	2	73083	14585	302.3066	8.446	8	22	HCD-HMSn
0	45024	78.5837	2	30094	10559	302.283	9.49	2	13	HCD-HMSn
0	45025	78.5858	2	41849	6322.3	302.2797	5.839	4	21	HCD-HMSn
0	45026	78.5880	2	85028	32382	209.4266	24.98	6	25	HCD-HMSn
0	45027	78.5902	2	60720	22081	209.3114	23.7	4	15	HCD-HMSn
0	45028	78.5923	2	191483	86594	604.3646	65.39	9	32	HCD-HMSn
0	45029	78.5945	2	47507	11304	211.58	8.244	3	16	HCD-HMSn
0	45030	78.5960	1	7.3743E+08	5.1329E+07	798.7573	271.5	1228	1228	MS
0	45031	78.5995	2	37674	10261	302.3181	10.13	2	13	HCD-HMSn
0	45032	78.6017	2	50990	36483	209.3682	30.94	2	6	HCD-HMSn
0	45033	78.6027	2	336148	41887	116.0708	7.859	8	27	HCD-HMSn
0	45034	78.6048	2	159608	12858	282.1443	8.275	13	60	HCD-HMSn
0	45035	78.6070	2	223063	30347	228.1345	21.57	14	62	HCD-HMSn
0	45036	78.6092	2	53482	15972	120.081	12.55	3	18	HCD-HMSn
0	45037	78.6113	2	262061	50482	322.1878	25.54	19	47	HCD-HMSn
0	45038	78.6135	2	158966	32737	129.1025	19.83	12	45	HCD-HMSn
0	45039	78.6157	2	76907	17837	302.3092	13.54	2	34	HCD-HMSn
0	45040	78.6180	2	32869	14637	302.3121	13.37	1	14	HCD-HMSn
0	45041	78.6202	2	52589	29735	209.8939	28.85	1	15	HCD-HMSn
0	45042	78.6223	2	31210	16212	211.5695	18.25	1	12	HCD-HMSn
0	45043	78.6237	1	9.6923E+08	9.09E+07	798.7579	469.6	1433	1433	MS
0	45044	78.6258	2	245559	28816	201.1234	18.63	19	50	HCD-HMSn
