Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed	InterferenceScore
0	0	1031.0634	45004	45005	45043	-1	0	45004	45219	45043	3.2E+06	6.775	52	3.03E+08	2.6436E+06	472315	901777	52	2.049E+08	45053	30.4	0.2556	0.2665	12	0
0	1	1074.0302	45004	45006	45043	-1	0	45004	45232	45043	1.4702E+06	6.272	78	1.4486E+08	1.2283E+06	234422	415604	52	9.3617E+07	45052	29.9	0.2618	0.2665	12	0
0	2	771.4337	45004	45007	45004	-1	0	45004	45004	45004	970365	10.71	0	1.0189E+06	935978	90632	214188	52	1.7484E+07	45018	7.84	-0.243	0.433	3	0
0	3	700.3615	45004	45008	45030	-1	0	45004	45121	45030	793019	9.838	47	5.4303E+07	689851	80604	164379	78	4.5275E+07	45038	22	0.1355	0.3223	9	0
0	4	815.9399	45004	45009	45069	-1	0	45004	45219	45069	1.2249E+06	8.242	87	1.1768E+08	526432	148619	277286	79	8.6414E+07	45070	34.7	0.06274	0.2494	14	0
0	5	474.7918	45004	45010	45043	-1	0	45004	45128	45043	792325	7.66	57	5.3777E+07	345649	103433	186493	52	4.096E+07	45049	25.2	0.01636	0.3027	10	0
0	6	480.2795	45004	45011	45017	-1	0	45004	45095	45017	224674	5.808	22	8.8711E+06	222170	38681	39380	52	4.0192E+06	45023	16.3	0.3281	0.3441	7	0
0	7	778.9078	45004	45012	45004	-1	0	45004	45004	45004	616737	8.089	0	647574	537754	76243	123606	52	9.6791E+06	45018	7.86	-0.2515	0.433	3	0
0	8	739.3882	45004	45013	45069	-1	0	45004	45154	45069	2.1249E+06	7.164	61	1.4359E+08	545008	296601	429156	79	9.9481E+07	45068	26.3	-0.04005	0.3209	11	0
0	9	941.0575	45004	45014	45004	-1	0	45004	45004	45004	388879	10.97	0	408323	138921	35457	30866	51	3.7725E+06	45018	7.87	-0.2143	0.433	3	0
0	10	1037.5232	45004	45015	45069	-1	0	45004	45219	45069	453402	4.949	117	4.932E+07	281824	91608	144521	52	2.8519E+07	45068	33.5	-0.07593	0.2615	13	0
0	11	612.7937	45004	45016	45082	-1	0	45004	45232	45082	1.2044E+06	9.084	64	1.0656E+08	200454	132579	277207	79	7.9534E+07	45077	29.3	0.03354	0.267	13	0
0	12	687.7108	45017	45018	45043	-1	0	45004	45245	45043	8.6952E+06	9.513	60	8.8023E+08	6.3566E+06	914030	2.15E+06	79	6.4634E+08	45056	32.7	0.3256	0.2749	13	0
0	13	763.3779	45017	45019	45017	-1	0	45004	45167	45017	460500	3.467	45	2.6703E+07	427115	132809	366657	78	8.0996E+06	45025	16.4	0.2625	0.3505	7	0
0	14	661.366	45017	45020	45043	-1	0	45004	45121	45043	810979	6.486	45	5.9268E+07	548437	125026	208181	52	4.1045E+07	45042	24.9	0.222	0.2898	10	0
0	15	516.3196	45017	45021	45082	-1	0	45004	45245	45082	498977	5.728	81	4.2211E+07	362333	87119	121403	52	2.1362E+07	45080	32.6	0.1007	0.2494	14	0
0	16	609.6833	45017	45022	45082	-1	0	45004	45245	45082	1.1716E+07	9.249	105	1.2416E+09	3.4363E+06	1.2667E+06	3.07E+06	79	9.7298E+08	45092	38.7	0.263	0.2378	16	0
