scan_num, scan_time, type, bpi, bpi_mz, tic, num_peaks, num_deisotoped
21000,68.8757,1,7.127427E+08,414.51453,1.086239E+10,802,0
21006,68.8915,1,6.811226E+08,414.51443,1.056774E+10,774,0
21011,68.9050,1,5.760665E+08,414.51434,9.325297E+09,695,0
21012,68.9107,1,5.359032E+08,414.51443,9.861657E+09,778,0
21020,68.9318,1,5.398537E+08,414.51453,9.95002E+09,759,0
21026,68.9475,1,4.758121E+08,414.51443,9.568409E+09,817,0
21027,68.9532,1,4.711399E+08,414.51450,9.668161E+09,815,0
21033,68.9690,1,4.348225E+08,414.51450,8.967874E+09,810,0
21037,68.9803,1,4.196738E+08,414.51443,1.058027E+10,916,0
21044,68.9990,1,3.754762E+08,403.63049,9.379052E+09,836,0
21047,69.0079,1,3.806693E+08,403.63043,9.087445E+09,858,0
21051,69.0191,1,3.574438E+08,403.63049,9.642846E+09,929,0
21054,69.0281,1,3.143305E+08,403.83078,8.204153E+09,768,0
21063,69.0514,1,3.294454E+08,403.63065,7.888231E+09,849,0
21068,69.0650,1,2.791919E+08,400.26038,7.85759E+09,866,0
21079,69.0929,1,3.12245E+08,400.26016,8.362812E+09,845,0
21081,69.0996,1,3.151781E+08,400.26013,8.001007E+09,853,0
21090,69.1229,1,2.931786E+08,400.26016,7.53875E+09,866,0
21093,69.1319,1,2.99709E+08,400.26010,8.084643E+09,885,0
21103,69.1576,1,3.20844E+08,400.26022,8.053786E+09,887,0
21111,69.1786,1,3.100037E+08,494.82083,7.904423E+09,813,0
21114,69.1876,1,2.45812E+08,400.26013,6.49316E+09,841,0
21121,69.2063,1,3.038384E+08,400.26019,7.862762E+09,881,0
21124,69.2153,1,3.118284E+08,400.26031,7.793207E+09,902,0
21133,69.2386,1,3.578345E+08,494.82077,8.165753E+09,964,0
21141,69.2596,1,3.04793E+08,494.82050,7.112016E+09,843,0
21144,69.2686,1,3.569356E+08,494.82050,8.629124E+09,963,0
21155,69.2965,1,3.775251E+08,494.82050,9.149989E+09,931,0
21158,69.3054,1,3.409846E+08,483.28897,8.036758E+09,903,0
21168,69.3309,1,3.840064E+08,494.82059,9.10684E+09,964,0
21178,69.3566,1,3.980948E+08,483.28894,9.160028E+09,864,0
21181,69.3656,1,3.805083E+08,681.72284,9.265105E+09,962,0
21190,69.3890,1,5.522544E+08,681.38837,9.878509E+09,892,0
21196,69.4048,1,4.818787E+08,681.38855,7.086237E+09,787,0
21202,69.4206,1,6.375539E+08,681.38879,8.836681E+09,973,0
21210,69.4416,1,5.441108E+08,681.38885,6.798006E+09,766,0
21213,69.4506,1,1.057153E+09,681.38824,1.451614E+10,1195,0
21224,69.4784,1,7.895324E+08,681.72266,1.07068E+10,872,0
21226,69.4850,1,8.594121E+08,681.38855,1.171792E+10,920,0
21232,69.5008,1,9.247523E+08,681.38861,1.243786E+10,904,0
21237,69.5144,1,6.464278E+08,681.72266,8.408457E+09,755,0
21241,69.5256,1,9.314408E+08,681.72192,1.379385E+10,1045,0
21249,69.5466,1,7.671438E+08,681.38818,1.183119E+10,861,0
21255,69.5625,1,8.412881E+08,604.33313,1.266012E+10,914,0
21260,69.5760,1,8.624165E+08,604.33319,1.216138E+10,853,0
21269,69.5993,1,8.771848E+08,604.33337,1.184363E+10,783,0
21278,69.6227,1,8.907325E+08,604.33356,1.189789E+10,880,0
21285,69.6414,1,9.138369E+08,604.33356,1.275795E+10,924,0
21293,69.6625,1,7.433596E+08,604.33362,1.081605E+10,733,0
21299,69.6783,1,6.188739E+08,604.33362,8.790811E+09,725,0
21307,69.6994,1,6.447576E+08,604.33337,1.078798E+10,667,0
21318,69.7273,1,6.448895E+08,698.05499,1.079651E+10,743,0
21321,69.7362,1,7.52083E+08,698.05505,1.19048E+10,840,0
21329,69.7574,1,7.326421E+08,698.05518,1.06416E+10,705,0
21335,69.7732,1,8.709834E+08,604.36279,1.301018E+10,805,0
21344,69.7965,1,7.880145E+08,697.72131,9.916404E+09,766,0
21351,69.8153,1,7.48841E+08,698.05554,1.000593E+10,674,0
21358,69.8341,1,6.693843E+08,698.05505,8.229277E+09,590,0
21364,69.8500,1,9.54751E+08,698.05493,1.309138E+10,917,0
21365,69.8556,1,6.819856E+08,697.72131,8.592376E+09,683,0
21376,69.8836,1,7.133587E+08,697.72107,1.071171E+10,705,0
21385,69.9071,1,6.372721E+08,697.72137,1.0036E+10,700,0
21390,69.9206,1,7.80161E+08,697.72125,1.202459E+10,814,0
21394,69.9321,1,5.331388E+08,697.72144,7.37552E+09,638,0
21405,69.9600,1,7.237887E+08,698.05548,1.223184E+10,867,0
21410,69.9736,1,6.679086E+08,697.72125,1.148527E+10,826,0
21419,69.9969,1,5.058093E+08,698.05573,1.072418E+10,780,0
21422,70.0059,1,4.974768E+08,552.32263,1.02068E+10,821,0
21431,70.0299,1,6.00229E+08,552.32239,1.20435E+10,875,0
21442,70.0578,1,6.035237E+08,552.32245,1.069236E+10,831,0
21445,70.0668,1,6.950563E+08,552.32263,1.23013E+10,921,0
21456,70.0947,1,6.660378E+08,552.32245,1.128862E+10,823,0
21467,70.1226,1,5.862938E+08,552.32251,1.080284E+10,776,0
21477,70.1482,1,5.51647E+08,552.32251,1.014811E+10,822,0
21485,70.1692,1,6.575481E+08,578.63611,1.060386E+10,810,0
21492,70.1880,1,6.641267E+08,578.63605,1.044208E+10,794,0
