Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed	InterferenceScore	SurveyScanTime	FragScanTime	OptimalPeakApexScanTime	Comment
0	1261	90.055	225	226	225	-1	1	180	270	225	2.2991E+08	273.2	17	4.3062E+09	2.2991E+08	841435	3.95E+06	238	4.6306E+09	228	12.1	0.03801	0.3321	8	0.9603	0.92959	0.93836	0.92959	L-Alanine
0	1262	105.0182	252	253	270	-1	1	189	306	270	41472	6.842	23	2.0628E+06	13711	6061.4	8468	237	1.3533E+06	261	17.1	-0.3697	0.3413	10	0.9864	0.99211	1.00087	1.03505	Malonic acid
0	1263	111.0441	459	460	243	-1	1	207	288	243	1.1542E+07	104.3	16	2.3619E+08	140988	110636	290490	238	2.2874E+08	245	12.4	0.09894	0.3311	8	0.8448	1.58804	1.59682	0.97093	Hydroquinone
0	1264	117.0182	261	262	270	-1	1	189	315	270	41472	6.465	20	2.0311E+06	31621	6414.4	8748	237	1.2495E+06	264	22	-0.09089	0.2494	14	1	1.01384	1.02267	1.03505	Fumaric acid
0	1265	119.0339	378	379	570	-1	1	531	637	570	95817	15.2	51	5.1244E+06	53038	6302.2	8658	236	4.2883E+06	577	17.8	0.2507	0.2792	11	0.8205	1.34187	1.35065	1.92163	Succinate (1.3 min.)
0	1266	119.0339	279	280	342	-1	1	306	423	342	119317	18.93	10	2.6378E+06	19939	6302.2	8658	236	1.9134E+06	353	18.8	0.451	0.3247	11	0.9515	1.05588	1.06466	1.24134	Succinate (1.0 min.)
0	1267	124.0393	279	280	270	-1	1	180	423	270	6.1152E+08	101	32	2.5903E+10	4.2724E+08	6.0549E+06	3.16E+07	237	2.4995E+10	284	25.1	0.8688	0.6017	13	0.9515	1.05588	1.06466	1.03505	Nicotinic acid/Niacin
0	1268	132.1019	270	271	342	-1	1	306	432	342	4.9812E+08	698.7	12	7.0688E+09	2.9371E+08	712917	2.44E+06	237	7.6511E+09	345	11.7	0.04661	0.3292	8	0.7817	1.03505	1.04383	1.24134	Leucine (1.0 min.)
0	1269	132.1019	378	379	342	-1	1	306	432	342	4.9812E+08	698.7	12	7.0688E+09	8.9392E+06	712917	2.44E+06	237	7.6511E+09	345	11.7	0.04655	0.3292	8	0.8205	1.34187	1.35065	1.24134	Leucine (1.3 min.)
0	1270	133.0608	252	253	225	-1	1	189	270	225	256689	34.78	14	5.3709E+06	34724	7381.2	13400	238	4.722E+06	230	12.9	0.07457	0.3143	8	0.9864	0.99211	1.00087	0.92959	L-Asparagine
0	1271	134.0448	261	262	252	-1	1	198	306	252	58757	9.231	45	2.5629E+06	31621	6365	9184	237	1.8544E+06	254	17.6	0.09801	0.2993	10	1	1.01384	1.02267	0.99211	Aspartate
0	1272	135.0288	288	289	261	-1	1	225	297	261	3.192E+06	164.3	18	6.3035E+07	95273	19426	85039	238	6.6684E+07	263	12.1	0.06171	0.3328	8	1	1.08103	1.08985	1.01384	(R)-Malate
0	1273	147.0764	243	244	225	-1	1	189	261	225	5.3581E+06	249.1	12	7.4185E+07	306702	21510	124989	239	8.0287E+07	227	11.4	-0.0497	0.337	7	0.9891	0.97093	0.97969	0.92959	L-Glutamine
0	1274	148.0605	261	262	234	-1	1	189	270	234	1.73E+08	229.3	16	3.1887E+09	4.6793E+06	754301	4.58E+06	238	3.3577E+09	234	11.7	0.01018	0.3411	7	1	1.01384	1.02267	0.95114	Glutamic acid
0	1275	150.0583	270	271	270	-1	1	180	315	270	2.1377E+08	250.4	20	4.9394E+09	2.1377E+08	853585	5.15E+06	238	5.3831E+09	266	11.9	-0.002713	0.3395	8	0.7817	1.03505	1.04383	1.03505	L-Methionine
0	1276	151.0237	297	298	270	-1	1	189	315	270	41472	6.589	54	2.1262E+06	8889	6294	8563	237	1.3944E+06	255	21.7	-0.09875	0.3271	12	0	1.10624	1.11501	1.03505	(S,S)-Tartaric acid
0	1277	151.0601	261	262	270	-1	1	225	306	270	1.209E+07	259.1	19	2.604E+08	1.4499E+07	46656	252369	238	2.8682E+08	266	11.8	-0.006585	0.339	8	1	1.01384	1.02267	1.03505	Sugars-Monosaccharides-Pentoses (Arabinose)
0	1278	157.0244	261	262	306	-1	1	261	342	306	3.4838E+07	359.1	11	4.6844E+08	151656	97024	697869	239	5.0312E+08	308	11.4	-0.04206	0.3355	7	1	1.01384	1.02267	1.13332	Orotic acid (1 min.)
0	1279	157.0244	378	379	306	-1	1	261	342	306	3.4838E+07	359.1	11	4.6844E+08	243436	97024	697869	239	5.0312E+08	308	11.4	-0.04205	0.3355	7	0.8205	1.34187	1.35065	1.13332	Orotic acid (1.3 min.)
