scan_num, scan_time, type, bpi, bpi_mz, tic, num_peaks, num_deisotoped
3,0.0063,2,231687744,110.07130,1578430848,103,0
4,0.0086,2,156357488,110.07127,1006584192,81,0
5,0.0098,2,5649498.5,784.40991,88022320,86,0
6,0.0151,2,179237200,649.34906,1090775552,47,0
7,0.0177,2,169150528,649.34875,1191929216,102,0
8,0.0196,2,152246384,432.89966,1093730176,82,0
9,0.0219,2,145545808,649.85071,756217984,44,0
10,0.0239,2,109493096,649.85071,883354560,93,0
11,0.0259,2,116947648,433.23373,786233600,78,0
12,0.0281,2,9521115,648.84576,44360040,22,0
13,0.0313,2,5397445.5,1297.69092,46166260,55,0
14,0.0345,2,10477276,648.84595,50749152,31,0
15,0.0379,2,5703456.5,269.16080,23706634,54,0
16,0.0391,2,3964750.5,269.16071,59681328,85,0
17,0.0418,2,8168272.5,513.28156,10033378,15,0
18,0.0456,2,3285403,513.28125,11859380,37,0
19,0.0493,2,8808937,513.28156,11992993,14,0
20,0.0531,2,6735164,649.34802,26855828,24,0
21,0.0564,2,3878195.75,1298.69434,35328568,60,0
22,0.0596,2,8431616,649.34796,36476744,51,0
24,0.0643,2,241557664,110.07130,1625314560,99,0
25,0.0666,2,164336592,110.07130,1059612032,94,0
26,0.0678,2,3377909.5,659.83734,17071176,99,0
27,0.0742,2,221481520,649.34918,1352007552,44,0
28,0.0771,2,146257168,649.34882,1002528896,73,0
29,0.0791,2,175274288,432.89960,1162733440,76,0
30,0.0813,2,142017680,649.85065,748366592,43,0
31,0.0833,2,118969864,649.85052,913504192,83,0
32,0.0853,2,130218008,433.23380,862034048,70,0
33,0.0875,2,1811825.25,659.83673,8383474.5,19,0
34,0.0913,2,1354165.75,659.83667,9677579,56,0
35,0.0951,2,1859848.63,659.83661,9451203,47,0
37,0.1004,2,244780384,110.07129,1643238656,95,0
38,0.1027,2,166764032,110.07128,1094634368,92,0
39,0.1039,2,5613861,784.40991,85799520,102,0
40,0.1092,2,220751456,649.34912,1355284992,56,0
41,0.1119,2,185768576,649.34875,1285402880,105,0
42,0.1139,2,115197120,432.89963,821219392,66,0
43,0.1162,2,143047136,649.85071,753998336,49,0
44,0.1181,2,106407240,649.85040,835840320,89,0
45,0.1201,2,111144472,433.23386,795792320,76,0
46,0.1224,2,8879723,648.84595,41724144,23,0
47,0.1257,2,5433057,1297.69116,47249516,67,0
48,0.1289,2,10226402,648.84583,50599016,33,0
49,0.1323,2,3385831.75,269.16077,55088340,102,0
50,0.1336,2,2007447.25,110.07133,17879390,85,0
51,0.1375,2,6959739.5,649.34833,26712790,22,0
52,0.1408,2,3169185.75,1298.69373,30885654,68,0
53,0.1442,2,6882707,649.34808,29086200,46,0
54,0.1477,2,2465165.75,583.29907,11237936,19,0
55,0.1514,2,1945501.5,1138.60327,11789805,45,0
56,0.1550,2,2452972.25,583.29877,11704205,38,0
58,0.1601,2,261882032,110.07132,1740968576,102,0
59,0.1624,2,160385056,110.07130,1039056384,96,0
60,0.1636,2,4962424.5,784.40985,78633240,99,0
61,0.1694,2,254587920,649.34930,1542486016,47,0
62,0.1722,2,176860048,649.34894,1156873088,83,0
63,0.1742,2,145518960,432.89960,1021474944,67,0
64,0.1765,2,128913088,649.85083,665307648,34,0
65,0.1784,2,114866776,649.85052,915539584,81,0
66,0.1804,2,127361688,433.23370,867069312,66,0
67,0.1826,2,9109224,648.84595,43761668,23,0
68,0.1859,2,5514318,1297.69104,47487620,60,0
69,0.1891,2,9651256,648.84583,47558136,29,0
70,0.1925,2,2015804.38,110.07130,17790416,72,0
71,0.1937,2,3275326.75,269.16083,52344392,118,0
72,0.1971,2,2352366.75,583.29877,10901658,18,0
73,0.2006,2,1799641.5,1138.60254,11176218,47,0
74,0.2041,2,2433706,583.29889,11248077,32,0
75,0.2078,2,7056164,649.34814,28212558,24,0
76,0.2111,2,3466795.25,1298.69458,32834376,67,0
77,0.2144,2,6817372,649.34845,29550380,45,0
79,0.2192,2,233994608,110.07130,1539130880,91,0
80,0.2215,2,127148632,110.07128,807532352,64,0
81,0.2227,2,5477202.5,784.40997,86466056,89,0
82,0.2275,2,228588320,649.34906,1374026240,46,0
83,0.2301,2,169990848,649.34894,1165850624,97,0
84,0.2320,2,162448128,432.89975,1091153792,73,0
85,0.2343,2,139494240,649.85083,710629696,38,0
86,0.2362,2,120283040,649.85065,913204224,85,0
87,0.2382,2,128188688,433.23376,873404800,79,0
88,0.2405,2,9003041,648.84576,42730488,22,0
89,0.2437,2,5366069.5,1297.69116,45361564,54,0
90,0.2469,2,9395422,648.84583,47708084,33,0
91,0.2503,2,2240453.25,110.07130,19629760,63,0
92,0.2515,2,3267256.75,269.16074,51962952,98,0
93,0.2548,2,2337578.5,583.29871,10567027,22,0
94,0.2587,2,1882151,1138.60254,11415137,64,0
95,0.2625,2,2401750.25,583.29858,10976039,38,0
96,0.2664,2,6674828.5,649.34784,25787386,22,0
97,0.2697,2,3457315.75,1298.69409,31269092,69,0
98,0.2730,2,7461112,649.34790,31677098,54,0
100,0.2779,2,245097664,110.07128,1643179008,99,0
101,0.2802,2,168989664,110.07130,1086987008,96,0
102,0.2814,2,5620290.5,784.40967,84415856,92,0
103,0.2871,2,224420576,649.34906,1365586816,49,0
104,0.2896,2,183695792,649.34875,1224690048,88,0
105,0.2916,2,169007712,432.89960,1166029824,62,0
106,0.2939,2,142732624,649.85059,764195456,39,0
107,0.2958,2,119104600,649.34821,972894400,82,0
108,0.2978,2,120611048,433.23373,782430912,70,0
109,0.3000,2,9615134,648.84583,46149564,23,0
110,0.3032,2,6064508.5,1297.69080,51371052,50,0
111,0.3064,2,9925962,648.84583,49579388,28,0
112,0.3098,2,1945370.75,110.07131,17209334,77,0
113,0.3110,2,3243374.75,269.16068,51733904,111,0
114,0.3145,2,2537353.75,583.29865,11515097,18,0
115,0.3181,2,1818426.75,1138.60205,11065259,51,0
116,0.3217,2,2270235.75,583.29852,10475491,32,0
117,0.3254,2,7187013,649.34784,28908850,25,0
118,0.3286,2,4029882.75,1298.69397,34814648,46,0
119,0.3319,2,7513717,649.34784,32547462,44,0
121,0.3366,2,252077824,110.07127,1701624832,92,0
122,0.3389,2,174362048,110.07126,1107548288,89,0
123,0.3401,2,5203783,784.40973,81964416,80,0
124,0.3454,2,209225072,649.34894,1284255488,48,0
