scan_num, scan_time, type, bpi, bpi_mz, tic, num_peaks, num_deisotoped
1,0.0018,1,447502208,432.90002,1434718208,4804,0
2,0.0060,1,955425856,432.89951,2516653312.0,352,0
23,0.0640,1,644199360,432.89981,1936537856,2258,0
36,0.1000,1,576760128,432.89975,1854985856,2565,0
57,0.1598,1,663322176,432.89975,1999580160,2035,0
78,0.2188,1,578868160,432.89987,1855306624,2518,0
99,0.2775,1,716743872,432.89954,2128703744,1978,0
120,0.3362,1,655290688,432.89972,1963412224,2396,0
141,0.3950,1,592135168,432.89960,1842776320,2552,0
162,0.4574,1,702869248,432.89978,2081340160,2087,0
183,0.5156,1,699008320,432.89972,2136115072,2334,0
204,0.5740,1,662149376,432.89972,2008802304,2316,0
225,0.6314,1,687668160,432.89981,2012352896,2178,0
246,0.6894,1,569409920,432.89966,1745473152,2662,0
267,0.7477,1,517523296,432.89972,1528858624,2326,0
288,0.8075,1,557898176,432.89978,1726061056,2018,0
309,0.8649,1,634055744,432.89996,1913283840,2649,0
330,0.9240,1,686378560,432.89984,2036681984,1905,0
351,0.9841,1,641147584,432.89963,1969069440,2413,0
372,1.0471,1,564562816,432.89960,1749767680,2570,0
393,1.1058,1,545861632,432.89984,1787994496,2507,0
414,1.1653,1,632323008,432.89978,1918968064,2096,0
435,1.2243,1,615382400,432.89993,1887771904,2392,0
456,1.2823,1,656428672,432.89996,2024470272,1982,0
477,1.3394,1,646394176,432.89981,1900663296,2172,0
498,1.3967,1,701043968,432.89978,2078409728,1951,0
519,1.4557,1,483964384,432.89981,1500856704,2578,0
540,1.5131,1,674589824,432.89972,2007617408,2165,0
561,1.5721,1,645577600,432.89984,2003365632,2148,0
582,1.6315,1,702475776,432.89987,2062346880,2221,0
603,1.6939,1,683150592,432.89969,2070404480,2272,0
624,1.7510,1,580326656,432.89975,1716157440,2216,0
645,1.8104,1,529604352,432.89987,1665924480,2067,0
666,1.8698,1,645297536,432.89981,2051661696,2433,0
687,1.9279,1,595042688,432.89984,1886804352,2672,0
708,1.9873,1,721311872,432.89984,2114556032,2247,0
729,2.0475,1,632307648,432.89972,1908969600,2549,0
750,2.1061,1,580587712,432.89993,1734222464,2195,0
771,2.1666,1,511289888,432.89981,1554007040,2133,0
792,2.2259,1,592657920,432.89975,1838421760,2307,0
813,2.2914,1,698242304,432.89966,2100897024,2100,0
834,2.3503,1,609563264,432.89999,1864936576,2977,0
855,2.4109,1,671959744,432.89987,2021876224,2109,0
876,2.4705,1,579446336,432.89993,1830635648,2683,0
897,2.5294,1,680688448,432.89984,2101536384,2501,0
918,2.5890,1,698589696,432.89978,2082125824,2100,0
939,2.6487,1,652502272,432.89966,1976810496,2063,0
960,2.7072,1,33921288,1421.97803,193778096,5375,0
981,2.7839,1,404789824,432.89993,1399587200,4788,0
982,2.7880,1,1006542912,432.89960,2832911104.0,498,0
1003,2.8465,1,635021312,432.89987,1943455616,2427,0
1020,2.8947,1,801970816,432.89975,2311389696.0,2151,0
1041,2.9620,1,711938432,432.89981,2182340608.0,2265,0
1062,3.0214,1,562643392,432.89975,1666609792,2474,0
1083,3.0805,1,470222752,432.89966,1404493056,1856,0
1104,3.1390,1,641607808,432.89978,1957317248,2371,0
1125,3.1990,1,605353600,432.89981,1802799104,2587,0
1146,3.2583,1,726503040,432.89975,2132460032,1833,0
1167,3.3172,1,628310400,432.89978,1924508160,2354,0
1188,3.3756,1,712720960,432.89975,2167226624.0,2000,0
1209,3.4341,1,675668864,432.89990,2002953984,2219,0
1230,3.4916,1,624601344,432.89966,1937984768,2264,0
1251,3.5532,1,595231680,432.89981,1817447808,1972,0
1272,3.6156,1,634353664,432.89987,1878592640,2293,0
1293,3.6748,1,664118976,432.90005,1997316736,2640,0
1314,3.7341,1,565135872,432.89996,1744084224,2078,0
1335,3.7932,1,635275648,432.89984,1951077760,2369,0
1356,3.8503,1,630127168,432.89981,1887784320,2201,0
1377,3.9102,1,500116096,432.89972,1612611072,2196,0
1398,3.9673,1,584425792,432.89978,1726999168,2219,0
1419,4.0249,1,663803392,432.89966,2013694720,2265,0
1440,4.0820,1,517697056,432.89969,1599418240,2201,0
1461,4.1409,1,532127552,432.89975,1592423040,1963,0
1482,4.2075,1,510736896,432.89984,1550613248,2666,0
1503,4.2682,1,621353984,432.89984,1902862592,2720,0
1524,4.3280,1,668298368,432.89963,2069766016,2011,0
1545,4.3884,1,630305088,432.89975,1909179904,2381,0
1566,4.4477,1,582450752,432.89990,1815080192,2142,0
1587,4.5069,1,679905984,432.89996,2054553600,2432,0
1608,4.5668,1,494350496,432.89963,1500181632,2267,0
1629,4.6252,1,722792448,432.89972,2185667328.0,2436,0
1650,4.6833,1,715651392,432.89987,2082839296,2410,0
1671,4.7422,1,664972480,432.89969,1993325952,2169,0
1692,4.8085,1,574230016,432.89978,1783330688,2544,0
1713,4.8677,1,659114560,432.89978,1988993920,2457,0
1734,4.9285,1,703553856,432.89984,2080353152,2089,0
1755,4.9876,1,657597632,432.89987,1992323584,2239,0
