Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed	InterferenceScore
706504	0	432.9	2	3	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	2.4168E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	0	432.9	2	6	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	2.4168E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	0	432.9	2	7	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	2.4168E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	0	432.9	2	8	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	2.4168E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	1	433.9022	2	4	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	2.0617E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
706504	1	433.9022	2	9	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	2.0617E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
706504	1	433.9022	2	10	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	2.0617E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
706504	1	433.9022	2	11	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	2.0617E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
706504	2	648.8466	2	5	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	7.7834E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8668
706504	2	648.8466	2	12	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	7.7834E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8668
706504	2	648.8466	2	13	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	7.7834E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8668
706504	2	648.8466	2	14	1608	359	0	1	162	57	9.5313E+07	1.155	70	1.4702E+10	7.7834E+07	8.252E+07	9.81E+06	85	7.4708E+08	64	21.2	0.2936	0.3742	6	0.8668
706504	3	513.2823	2	15	603	156	0	1	141	57	5.2094E+07	1.156	90	7.2448E+09	4.8669E+07	4.5078E+07	7.26E+06	86	4.0891E+08	52	20.3	0.0475	0.3499	6	1
706504	3	513.2823	2	17	603	156	0	1	141	57	5.2094E+07	1.156	90	7.2448E+09	4.8669E+07	4.5078E+07	7.26E+06	86	4.0891E+08	52	20.3	0.0475	0.3499	6	1
706504	3	513.2823	2	18	603	156	0	1	141	57	5.2094E+07	1.156	90	7.2448E+09	4.8669E+07	4.5078E+07	7.26E+06	86	4.0891E+08	52	20.3	0.0475	0.3499	6	1
706504	3	513.2823	2	19	603	156	0	1	141	57	5.2094E+07	1.156	90	7.2448E+09	4.8669E+07	4.5078E+07	7.26E+06	86	4.0891E+08	52	20.3	0.0475	0.3499	6	1
706504	4	649.8492	2	16	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	1.7468E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	0.2551
706504	4	649.8492	2	20	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	1.7468E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	0.2551
706504	4	649.8492	2	21	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	1.7468E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	0.2551
706504	4	649.8492	2	22	1608	359	0	1	141	78	2.749E+07	1.087	104	3.7469E+09	1.7468E+07	2.5292E+07	5.34E+06	86	1.6173E+08	93	27.7	0.219	0.3307	7	0.2551
706504	5	432.8995	23	24	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.6425E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	5	432.8995	23	27	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.6425E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	5	432.8995	23	28	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.6425E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	5	432.8995	23	29	1020	242	0	1	120	36	1.7941E+09	1.114	115	2.2465E+11	1.6425E+09	1.611E+09	2.29E+08	86	9.4655E+09	48	20.3	0.2088	0.3499	6	1
706504	6	433.9016	23	25	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	1.5907E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
706504	6	433.9016	23	30	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	1.5907E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
706504	6	433.9016	23	31	1020	242	0	1	120	57	1.8986E+08	1.106	115	2.3797E+10	1.5907E+08	1.7173E+08	2.58E+07	86	1.4035E+09	76	27.1	0.1619	0.3402	7	1
