scan_num, scan_time, type, bpi, bpi_mz, tic, num_peaks, num_deisotoped
1,0.0046,2,0.94606,599.35400,2.8189,3,0
2,0.0055,2,0.96559,724.39697,2.8866,3,0
3,0.0065,2,0.93972,511.32303,2.795,3,0
4,0.0074,2,0.96434,615.39600,2.813,3,0
5,0.0083,2,0.93576,685.39099,3.6579,4,0
6,0.0096,2,0.91732,607.37695,2.7321,3,0
7,0.0105,2,0.92364,383.74301,2.7364,3,0
8,0.0115,2,0.93814,723.88196,3.6397,4,0
9,0.0127,2,0.95213,560.28894,2.801,3,0
10,0.0137,2,0.93655,694.88000,2.7571,3,0
11,0.0146,2,0.93911,213.15999,2.6997,3,0
12,0.0156,2,0.93035,510.78403,2.7494,3,0
13,0.0165,2,0.94593,890.51892,2.7472,3,0
14,0.0174,2,0.94557,724.39697,2.8203,3,0
15,0.0184,2,0.94491,540.81091,2.7717,3,0
16,0.0193,2,0.94772,763.45898,2.7722,3,0
17,0.0203,2,0.97836,1072.56604,2.8956,3,0
18,0.0212,2,1.0009,345.14005,2.9098,3,0
19,0.0222,2,0.95312,426.26999,2.8168,3,0
20,0.0231,2,0.97751,1030.09802,2.8829,3,0
21,0.0241,2,0.99931,1219.52905,2.8515,3,0
22,0.0250,2,0.96947,1131.54199,2.8097,3,0
23,0.0262,2,0.9218,599.35400,2.7269,3,0
24,0.0272,2,0.97965,510.26602,2.8351,3,0
25,0.0281,2,0.92617,511.32303,2.7605,3,0
26,0.0290,2,1.0089,615.39600,2.9217,3,0
27,0.0299,2,0.97947,441.26004,3.7803,4,0
28,0.0312,2,0.98459,506.32999,2.9345,3,0
29,0.0321,2,1.0074,383.74301,2.8503,3,0
30,0.0331,2,0.97713,667.33997,3.7245,4,0
31,0.0344,2,0.96325,429.24802,2.7709,3,0
32,0.0353,2,0.92614,694.88000,2.7125,3,0
33,0.0362,2,0.91837,972.48193,2.6965,3,0
34,0.0372,2,0.92304,696.38196,2.7461,3,0
35,0.0381,2,0.93886,890.51892,2.7507,3,0
36,0.0391,2,0.9392,510.26602,2.7521,3,0
37,0.0400,2,0.90901,951.57202,2.7084,3,0
38,0.0409,2,0.94898,519.33801,2.7847,3,0
39,0.0419,2,0.95528,672.37000,2.8257,3,0
40,0.0428,2,0.97921,881.51196,2.8913,3,0
41,0.0438,2,0.95284,1034.52502,2.7931,3,0
42,0.0447,2,0.95482,1030.09802,2.758,3,0
43,0.0457,2,0.99881,1219.52905,2.9197,3,0
44,0.0466,2,1.0142,1131.54199,2.9124,3,0
45,0.0481,2,0.94584,542.33191,2.7807,3,0
46,0.0490,2,0.92612,510.26602,2.7267,3,0
47,0.0499,2,0.97417,624.40698,2.8549,3,0
48,0.0509,2,0.94389,502.31204,2.7924,3,0
49,0.0518,2,0.99295,685.39099,3.8914,4,0
50,0.0531,2,0.96457,506.32999,2.8235,3,0
51,0.0540,2,0.92852,766.47803,2.7304,3,0
52,0.0550,2,0.9166,784.38196,3.6099,4,0
53,0.0562,2,0.94775,560.28894,2.8205,3,0
54,0.0572,2,0.98071,824.48596,2.81,3,0
55,0.0581,2,0.92984,873.41296,2.7532,3,0
56,0.0591,2,0.9375,696.38196,2.7326,3,0
57,0.0600,2,0.93493,989.58801,2.7593,3,0
58,0.0609,2,0.92211,724.39697,2.7617,3,0
59,0.0618,2,0.9852,951.57202,2.8126,3,0
60,0.0628,2,0.96764,519.33801,2.7956,3,0
61,0.0638,2,0.94306,1072.56604,2.777,3,0
62,0.0647,2,0.9388,881.51196,2.7719,3,0
63,0.0657,2,0.97161,1034.52502,2.86,3,0
64,0.0666,2,0.93848,1030.09802,2.7948,3,0
65,0.0676,2,0.92075,860.43201,2.7174,3,0
66,0.0685,2,1.0202,1131.54199,2.9071,3,0
67,0.0697,2,0.943,263.66104,2.7636,3,0
68,0.0706,2,0.95622,510.26602,2.8072,3,0
69,0.0716,2,0.93473,624.40698,2.8019,3,0
70,0.0725,2,0.93287,728.47998,2.7494,3,0
71,0.0734,2,0.93413,441.26004,3.6874,4,0
72,0.0747,2,0.93154,409.26102,2.7436,3,0
73,0.0756,2,0.94797,556.34094,2.7907,3,0
74,0.0766,2,0.98462,897.46594,3.7144,4,0
75,0.0778,2,1.0024,429.24802,2.8763,3,0
76,0.0788,2,0.96933,759.40100,2.8448,3,0
77,0.0797,2,1.0014,972.48193,2.9223,3,0
78,0.0807,2,0.96079,559.32300,2.8558,3,0
