Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName
667076	22	0.0046	1	2.8189	0.94606	599.354	0.9461	3	3	MS
667076	122	0.0262	1	2.7269	0.9218	599.354	0.9218	3	3	MS
667076	223	0.0481	1	2.7807	0.94584	542.332	0.9458	3	3	MS
667076	323	0.0697	1	2.7636	0.943	263.661	0.943	3	3	MS
667076	424	0.0916	1	2.7698	0.93733	263.661	0.9373	3	3	MS
667076	524	0.1132	1	2.7588	0.96398	263.661	0.964	3	3	MS
667076	624	0.1349	1	2.745	0.94987	263.661	0.9499	3	3	MS
667076	724	0.1565	1	2.9036	1.0037	263.661	1.004	3	3	MS
667076	824	0.1781	1	2.7297	0.92092	542.332	0.9209	3	3	MS
667076	924	0.1997	1	683.09	544.2	263.661	7.834	3	3	MS
667076	1024	0.2214	1	652.94	651.08	263.661	651.1	3	3	MS
667076	1125	0.2432	1	427.37	423.76	263.661	229	3	3	MS
667076	1225	0.2649	1	697.07	670.72	263.661	50.76	3	3	MS
667076	1325	0.2865	1	523.51	521.63	263.661	521.6	3	3	MS
667076	1425	0.3081	1	20.283	18.404	263.661	18.4	3	3	MS
667076	1525	0.3298	1	211.51	209.68	263.661	209.7	3	3	MS
667076	1625	0.3514	1	180.45	178.54	263.661	178.5	3	3	MS
667076	1725	0.3730	1	157.82	155.93	263.661	155.9	3	3	MS
667076	1826	0.3948	1	19.715	17.918	263.661	17.92	3	3	MS
667076	1926	0.4165	1	4.6094	2.7983	263.661	2.798	3	3	MS
667076	2026	0.4381	1	2.7638	0.95302	599.354	0.953	3	3	MS
667076	2126	0.4597	1	70.511	68.689	263.661	68.69	3	3	MS
667076	2226	0.4813	1	2.7809	0.9548	263.661	0.9548	3	3	MS
667076	2326	0.5030	1	7.5708	5.6612	263.661	5.661	3	3	MS
667076	2426	0.5246	1	62.525	60.712	263.661	60.71	3	3	MS
667076	2527	0.5464	1	2.7827	0.93765	263.661	0.9377	3	3	MS
667076	2627	0.5681	1	127.65	125.81	263.661	125.8	3	3	MS
667076	2727	0.5897	1	4.5329	2.7028	263.661	2.703	3	3	MS
667076	2827	0.6113	1	3.405	1.5872	263.661	1.587	3	3	MS
667076	2927	0.6329	1	4.5949	2.7873	263.661	2.787	3	3	MS
667076	3027	0.6545	1	93.973	92.168	263.661	92.17	3	3	MS
667076	3127	0.6762	1	2.8147	0.94801	599.354	0.948	3	3	MS
667076	3227	0.6980	1	4.6868	2.7585	263.661	2.758	3	3	MS
667076	3328	0.7197	1	5.7481	3.9102	263.661	3.91	3	3	MS
667076	3429	0.7415	1	10.828	9	263.661	9	3	3	MS
667076	3529	0.7631	1	5.5901	3.7891	263.661	3.789	3	3	MS
667076	3630	0.7850	1	27.783	25.804	263.661	25.52	3	3	MS
667076	3730	0.8066	1	2.7358	0.93451	599.354	0.9345	3	3	MS
667076	3831	0.8285	1	133.32	131.48	263.661	131.5	3	3	MS
667076	3931	0.8501	1	95.074	93.263	263.661	93.26	3	3	MS
667076	4031	0.8717	1	16.24	14.361	263.661	14.36	3	3	MS
667076	4130	0.8933	1	8.0359	6.2125	263.661	6.213	3	3	MS
667076	4230	0.9150	1	13.703	11.849	263.661	11.85	3	3	MS
667076	4331	0.9367	1	76.41	74.33	263.661	71.46	3	3	MS
667076	4431	0.9583	1	4.9373	2.641	263.661	2.3	3	3	MS
667076	4532	0.9801	1	2.7509	0.93773	599.354	0.9377	3	3	MS
667076	4632	1.0017	1	95.973	94.087	263.661	94.09	3	3	MS
667076	4733	1.0236	1	3.6795	1.7949	263.661	1.795	3	3	MS
667076	4833	1.0452	1	6.7634	4.6885	263.661	4.519	3	3	MS
667076	4934	1.0671	1	105.31	103.48	263.661	103.5	3	3	MS
667076	5034	1.0887	1	29.58	27.55	263.661	27.14	3	3	MS
667076	5135	1.1106	1	2.8084	0.94197	599.354	0.942	3	3	MS
667076	5234	1.1322	1	3.2768	1.4319	263.661	1.432	3	3	MS
667076	5334	1.1538	1	107.8	105.88	263.661	105.9	3	3	MS
667076	5434	1.1754	1	2.8481	0.97748	263.661	0.9775	3	3	MS
667076	5534	1.1970	1	2.8093	0.95015	263.661	0.9501	3	3	MS
667076	5635	1.2187	1	2.7587	0.94966	263.661	0.9497	3	3	MS
667076	5735	1.2404	1	87.398	85.602	263.661	85.6	3	3	MS
667076	5835	1.2622	1	2.7825	0.95561	599.354	0.9556	3	3	MS
667076	5935	1.2838	1	168.53	166.71	263.661	166.7	3	3	MS
667076	6036	1.3056	1	16.409	14.606	263.661	14.61	3	3	MS
667076	6136	1.3273	1	9.3422	7.4727	263.661	7.473	3	3	MS
667076	6236	1.3489	1	4.6405	2.8006	263.661	2.801	3	3	MS
667076	6336	1.3705	1	101.56	99.756	263.661	99.76	3	3	MS
667076	6436	1.3921	1	173.28	171.43	263.661	171.4	3	3	MS
667076	6536	1.4138	1	252.1	250.27	263.661	250.3	3	3	MS
667076	6636	1.4354	1	2.8365	1.0337	263.661	1.034	3	3	MS
667076	6737	1.4572	1	2.7717	0.95594	599.354	0.9559	3	3	MS
667076	6837	1.4788	1	2.7221	0.93276	263.661	0.9328	3	3	MS
667076	6937	1.5005	1	135.51	133.67	263.661	133.7	3	3	MS
667076	7037	1.5221	1	86.388	84.533	263.661	84.53	3	3	MS
667076	7137	1.5437	1	209.34	207.5	263.661	207.5	3	3	MS
667076	7237	1.5653	1	55.116	53.275	263.661	53.28	3	3	MS
667076	7337	1.5869	1	152.35	150.55	263.661	150.6	3	3	MS
667076	7437	1.6087	1	107.82	106.02	263.661	106	3	3	MS
667076	7537	1.6303	1	2.7767	0.94518	542.332	0.9452	3	3	MS
667076	7637	1.6519	1	12.327	10.498	263.661	10.5	3	3	MS
667076	7737	1.6735	1	2.7662	0.95507	263.661	0.9551	3	3	MS
667076	7837	1.6952	1	118.88	116.97	263.661	117	3	3	MS
667076	7937	1.7168	1	2.707	0.93099	263.661	0.931	3	3	MS
667076	8037	1.7384	1	7.5187	5.7037	263.661	5.704	3	3	MS
667076	8138	1.7603	1	7.6552	5.8048	263.661	5.805	3	3	MS
667076	8238	1.7819	1	3.6525	1.7163	263.661	1.716	3	3	MS
667076	8339	1.8037	1	9.3905	7.5784	263.661	7.578	3	3	MS
667076	8439	1.8254	1	2.8292	0.96477	599.354	0.9648	3	3	MS
667076	8540	1.8472	1	9.2001	7.3331	263.661	7.333	3	3	MS
667076	8640	1.8688	1	79.986	78.095	263.661	78.1	3	3	MS
667076	8741	1.8907	1	16.415	14.599	263.661	14.6	3	3	MS
667076	8841	1.9124	1	7.6839	5.8261	263.661	5.826	3	3	MS
667076	8942	1.9342	1	2.7843	0.93925	542.332	0.9392	3	3	MS
667076	9042	1.9558	1	131.91	130.09	263.661	130.1	3	3	MS
667076	9142	1.9775	1	130.84	127.44	263.661	73.03	3	3	MS
667076	9242	1.9991	1	145.11	143.17	263.661	143.2	3	3	MS
667076	9342	2.0207	1	3.685	1.8663	263.661	1.866	3	3	MS
667076	9442	2.0423	1	65.235	63.272	263.661	63.27	3	3	MS
667076	9542	2.0640	1	91.167	89.291	263.661	89.24	3	3	MS
667076	9643	2.0858	1	2.8085	0.95375	542.332	0.9538	3	3	MS
667076	9743	2.1074	1	130.74	128.9	263.661	128.9	3	3	MS
667076	9843	2.1291	1	64.798	62.964	263.661	62.96	3	3	MS
667076	9943	2.1507	1	7.3478	5.5758	263.661	5.576	3	3	MS
667076	10043	2.1723	1	56.879	55.085	263.661	55.09	3	3	MS
667076	10142	2.1939	1	7.734	5.8696	263.661	5.87	3	3	MS
667076	10243	2.2156	1	29.074	27.214	263.661	27.21	3	3	MS
667076	10343	2.2374	1	103.35	101.43	263.661	101.4	3	3	MS
667076	10443	2.2590	1	120.01	118.21	263.661	118.2	3	3	MS
667076	10543	2.2807	1	14.39	12.523	263.661	12.52	3	3	MS
667076	10643	2.3023	1	18.133	16.236	263.661	16.24	3	3	MS
667076	10743	2.3239	1	59.201	57.281	263.661	57.28	3	3	MS
667076	10843	2.3455	1	8.569	6.727	263.661	6.727	3	3	MS
667076	10943	2.3672	1	18.904	17.077	263.661	17.08	3	3	MS
667076	11044	2.3890	1	100.32	98.473	263.661	98.47	3	3	MS
667076	11144	2.4106	1	10.855	8.9181	263.661	8.918	3	3	MS
667076	11245	2.4324	1	10.797	8.9875	263.661	8.988	3	3	MS
667076	11345	2.4541	1	54.59	39.173	542.332	5.054	3	3	MS
667076	11446	2.4759	1	33.706	23.769	599.354	4.753	3	3	MS
667076	11546	2.4975	1	287.01	285.12	263.661	285.1	3	3	MS
667076	11646	2.5191	1	3.6447	1.7892	263.661	1.789	3	3	MS
667076	11746	2.5407	1	60.319	58.366	263.661	58.37	3	3	MS
667076	11846	2.5624	1	214.65	212.74	263.661	212.7	3	3	MS
667076	11946	2.5840	1	9.1688	5.3497	599.354	2.764	3	3	MS
667076	12045	2.6056	1	8.5917	6.777	263.661	6.777	3	3	MS
667076	12146	2.6274	1	23.728	18.862	263.661	7.707	3	3	MS
667076	12246	2.6490	1	243.96	242.08	263.661	242.1	3	3	MS
667076	12346	2.6707	1	5.8722	4.0842	263.661	4.084	3	3	MS
667076	12446	2.6923	1	122.59	120.7	263.661	120.7	3	3	MS
667076	12546	2.7139	1	5.9088	4.1081	263.661	4.108	3	3	MS
