Scan_First	ScanTime	495.285_to_409.261	495.285_to_506.330	495.285_to_607.377	514.790_to_383.743	514.790_to_556.341	514.790_to_766.478	515.947_to_667.340	515.947_to_723.882	515.947_to_784.382	515.947_to_897.466	522.581_to_429.248	522.581_to_560.289	522.581_to_631.326	539.626_to_694.880	539.626_to_759.401	539.626_to_824.486	543.287_to_213.160	543.287_to_873.413	543.287_to_972.482	589.819_to_510.784	589.819_to_559.323	589.819_to_696.382	601.374_to_777.435	601.374_to_890.519	601.374_to_989.588	640.342_to_510.266	640.342_to_724.397	640.342_to_1019.525	640.869_to_540.811	640.869_to_854.519	640.869_to_951.572	675.345_to_252.180	675.345_to_519.338	675.345_to_763.459	686.368_to_672.370	686.368_to_785.454	686.368_to_1072.566	734.869_to_345.140	734.869_to_881.512	734.869_to_1239.625	773.417_to_426.270	773.417_to_897.466	773.417_to_1034.525	774.445_to_794.980	774.445_to_980.564	774.445_to_1030.098	783.368_to_429.248	783.368_to_860.432	783.368_to_1219.529	849.428_to_671.343	849.428_to_1131.542	849.428_to_1341.679	368.710_to_263.661	368.710_to_542.332	368.710_to_599.354	427.231_to_510.266	427.231_to_583.800	427.231_to_724.397	458.760_to_265.118	458.760_to_511.323	458.760_to_624.407	486.778_to_502.312	486.778_to_615.396	486.778_to_728.480	490.249_to_441.260	490.249_to_586.323	490.249_to_685.391	490.249_to_881.512
5000	4.9301	0.981	0.947	20.224	0.965	0.969	0.955	0.952	1.044	0.779	0.890	0.924	0.920	0.933	0.899	0.917	0.952	0.901	0.939	1.619	137.967	0.927	0.913	0.949	0.932	0.928	0.974	0.932	0.920	0.904	0.910	0.912	1.003	1.034	0.984	0.905	0.923	0.983	1.011	0.967	0.974	0.978	0.922	0.943	0.930	0.979	0.933	0.894	0.926	1.003	0.929	0.925	0.930	102.213	109.286	0.946	2.251	0.955	0.925	0.959	0.930	0.924	15.218	0.897	0.903	0.912	0.898	0.943	0.897
5022	4.95173	0.981	0.976	0.936	0.941	0.927	0.941	0.914	0.959	0.903	0.922	0.957	0.900	0.926	0.909	0.911	0.899	0.903	5.393	0.918	0.916	0.917	0.945	0.917	0.885	0.891	0.905	0.899	0.942	0.915	0.919	0.965	0.914	0.920	0.924	0.885	0.942	0.979	0.945	0.937	1.002	0.929	0.927	1.006	0.888	0.963	0.992	0.958	0.943	0.960	0.954	1.032	0.973	162.058	0.914	0.899	0.928	0.940	0.943	0.957	1.007	0.892	0.946	0.949	0.927	80.436	0.870	0.962	0.940
5044	4.97337	0.964	1.016	0.937	1.454	1.055	1.003	0.974	0.965	0.984	1.012	0.980	0.993	1.002	0.986	0.989	0.996	4.937	0.915	0.973	14.735	1.092	1.053	0.967	0.965	0.972	0.969	0.983	0.962	0.935	0.919	0.929	0.915	0.974	0.936	0.892	0.906	0.963	0.906	0.926	0.951	0.924	0.899	0.958	0.907	0.894	0.936	0.903	0.948	0.932	0.981	0.975	0.936	175.775	0.932	0.888	0.951	0.949	0.915	0.977	1.884	0.912	0.949	0.951	0.910	4.302	0.937	0.920	0.921
5066	4.99498	0.925	0.893	0.916	0.909	0.902	0.918	0.945	0.887	0.941	0.904	0.957	0.928	0.916	0.895	0.899	0.917	0.904	1.265	0.964	1.849	0.898	0.918	0.919	0.899	0.946	12.809	0.902	0.915	0.935	0.912	0.911	0.890	0.939	0.974	0.906	0.937	0.944	0.999	0.926	0.947	0.940	0.986	0.948	0.900	0.958	0.966	0.907	0.910	0.962	0.869	0.977	0.933	102.321	0.712	0.885	0.954	0.931	0.923	0.915	0.918	0.930	0.911	3.501	2.226	0.927	0.887	0.928	0.905
5088	5.0166	0.903	0.932	0.950	0.897	0.908	0.905	0.942	30.047	0.948	0.934	0.931	0.905	0.932	0.949	0.931	0.964	0.923	63.689	0.874	0.946	0.903	10.539	0.933	0.919	0.944	0.918	0.879	0.913	4.487	1.042	0.988	0.917	0.959	0.941	0.917	0.925	1.007	0.939	1.031	0.986	1.023	0.997	1.024	0.998	0.938	0.984	0.966	0.988	0.964	0.968	0.956	0.965	9.049	19.597	1.047	0.926	0.854	0.873	5.594	3.209	0.910	0.938	0.987	1.017	1.008	0.930	0.939	0.927
5110	5.03842	0.967	0.946	0.906	0.930	3.005	0.906	0.897	0.919	0.906	0.940	0.897	0.943	0.931	0.940	0.937	0.978	1.047	1.020	1.011	0.974	0.906	1.025	0.987	0.929	1.005	1.006	0.993	0.975	0.972	1.020	1.137	0.945	5.464	0.930	0.914	0.963	0.954	1.028	0.985	1.016	0.971	0.949	0.980	0.918	0.896	0.968	0.950	0.904	0.953	0.938	0.971	0.944	39.573	0.905	0.810	0.934	0.914	0.939	0.934	0.890	0.918	0.955	0.894	0.898	0.922	0.909	0.948	0.910
5132	5.06008	0.933	1.027	0.938	0.963	0.926	0.920	0.890	0.960	0.902	0.927	0.928	0.919	0.859	0.922	0.902	0.934	0.953	0.928	0.908	1.167	0.889	0.879	0.939	0.914	0.942	1.025	1.030	0.963	0.956	0.949	0.945	0.993	0.937	0.890	0.898	0.923	0.972	0.949	0.934	0.950	0.955	0.920	0.969	0.891	0.951	0.958	0.948	0.900	0.943	0.893	0.952	0.984	199.535	0.940	76.762	0.901	0.763	0.908	0.922	0.924	0.925	0.919	0.946	0.910	0.909	0.931	0.939	0.913
5154	5.08195	26.998	0.990	0.955	0.933	0.960	0.889	0.934	0.893	0.928	0.930	1.023	0.940	0.929	0.953	0.931	0.947	4.238	0.977	0.900	35.172	0.931	0.929	0.890	0.908	0.920	0.918	0.904	0.894	0.938	0.919	0.943	0.918	0.915	0.992	0.941	0.932	1.004	0.925	0.920	0.935	0.957	0.957	0.997	0.938	0.880	0.980	0.934	0.894	0.956	0.966	1.012	0.962	189.298	0.950	0.885	0.944	0.908	0.937	1.044	0.981	0.937	0.962	0.885	0.948	0.941	0.906	0.899	0.956
5176	5.10357	0.928	0.929	0.920	0.939	0.952	1.000	0.937	0.970	0.902	0.983	0.978	0.959	1.013	0.930	0.924	0.942	0.988	0.992	0.985	0.964	1.126	1.167	1.078	1.058	1.020	0.996	1.098	1.056	0.999	0.985	1.009	0.963	0.895	0.946	0.962	0.906	0.968	0.963	0.929	0.984	0.997	0.948	0.958	0.949	0.958	1.004	1.846	0.907	0.968	0.940	0.974	0.967	8.244	1.288	1.041	0.987	0.930	0.934	115.552	0.986	0.880	0.987	0.964	0.972	0.985	0.971	0.982	0.958
5198	5.12542	0.965	0.944	0.931	0.996	0.956	0.959	1.015	1.011	0.963	0.953	6.820	0.931	0.959	0.967	0.960	0.938	5.008	0.925	0.969	0.954	0.907	0.935	0.969	0.977	1.002	0.952	0.937	0.888	0.943	0.916	0.894	0.945	0.894	0.876	0.901	0.936	0.967	0.922	0.943	0.965	0.897	0.957	1.018	0.978	0.988	1.065	0.966	0.999	0.995	0.963	1.014	1.011	118.884	0.946	1.885	0.941	0.955	0.922	0.907	0.873	0.938	0.961	0.903	0.932	2.245	0.915	0.936	0.945
