scan_num, scan_time, type, bpi, bpi_mz, tic, num_peaks, num_deisotoped
5000,4.9301,2,20.224,607.37695,22.152,3,0
5001,4.9311,2,0.96872,556.34094,2.8881,3,0
5002,4.9320,2,1.0437,723.88196,3.6642,4,0
5003,4.9333,2,0.93311,631.32593,2.7765,3,0
5004,4.9342,2,0.95213,824.48596,2.7688,3,0
5005,4.9352,2,1.6192,972.48193,3.4594,3,0
5006,4.9361,2,137.967,510.78403,139.807,3,0
5007,4.9371,2,0.9486,777.43494,2.8092,3,0
5008,4.9380,2,0.97445,510.26602,2.8271,3,0
5009,4.9389,2,0.91244,951.57202,2.7268,3,0
5010,4.9399,2,1.0337,519.33801,3.0211,3,0
5011,4.9408,2,0.98329,1072.56604,2.8109,3,0
5012,4.9418,2,1.0112,345.14005,2.9529,3,0
5013,4.9427,2,0.97834,426.26999,2.8426,3,0
5014,4.9437,2,0.97927,980.56396,2.8416,3,0
5015,4.9446,2,1.0027,1219.52905,2.8225,3,0
5016,4.9456,2,0.92965,1341.67896,2.7832,3,0
5017,4.9468,2,109.286,542.33191,212.446,3,0
5018,4.9477,2,2.2514,510.26602,4.1313,3,0
5019,4.9486,2,0.95871,265.11801,2.812,3,0
5020,4.9495,2,15.218,502.31204,17.017,3,0
5021,4.9505,2,0.94342,685.39099,3.6499,4,0
5022,4.9517,2,0.98065,409.26102,2.8925,3,0
5023,4.9527,2,0.94099,766.47803,2.8085,3,0
5024,4.9536,2,0.95903,723.88196,3.698,4,0
5025,4.9549,2,0.95658,429.24802,2.7822,3,0
5026,4.9558,2,0.91111,759.40100,2.7186,3,0
5027,4.9568,2,5.3932,873.41296,7.215,3,0
5028,4.9577,2,0.94519,696.38196,2.7779,3,0
5029,4.9587,2,0.91676,777.43494,2.693,3,0
5030,4.9596,2,0.9416,1019.52502,2.7455,3,0
5031,4.9605,2,0.96532,951.57202,2.7989,3,0
5032,4.9615,2,0.92384,763.45898,2.7576,3,0
5033,4.9624,2,0.9789,1072.56604,2.8058,3,0
5034,4.9634,2,1.0015,1239.62500,2.8838,3,0
5035,4.9643,2,1.0059,1034.52502,2.862,3,0
5036,4.9653,2,0.99177,1030.09802,2.8435,3,0
5037,4.9662,2,0.95982,1219.52905,2.8603,3,0
5038,4.9672,2,1.0324,1131.54199,2.9589,3,0
5039,4.9684,2,162.058,263.66104,163.871,3,0
5040,4.9693,2,0.94283,724.39697,2.8107,3,0
5041,4.9703,2,1.0067,511.32303,2.8549,3,0
5042,4.9712,2,0.94918,615.39600,2.8214,3,0
5043,4.9721,2,80.436,441.26004,83.207,4,0
5044,4.9734,2,1.0163,506.32999,2.9178,3,0
5045,4.9743,2,1.4541,383.74301,3.5115,3,0
5046,4.9753,2,1.0125,897.46594,3.935,4,0
5047,4.9765,2,1.0024,631.32593,2.9761,3,0
5048,4.9775,2,0.99553,824.48596,2.9702,3,0
5049,4.9784,2,4.9367,213.15999,6.824,3,0
5050,4.9794,2,14.735,510.78403,16.88,3,0
