scan_num, scan_time, type, bpi, bpi_mz, tic, num_peaks, num_deisotoped
4005,55.1348,1,16040256,527.93512,514712704,25974,0
4012,55.2273,1,12278968,527.93512,496005184,26077,0
4019,55.3075,1,18797032,714.87219,612586816,24922,0
4026,55.3880,1,22207712,714.87219,741253120,25774,0
4033,55.4658,1,24347260,510.96753,696651904,24386,0
4040,55.5353,1,43385248,510.96722,942664256,22215,0
4047,55.6072,1,56393784,510.96783,1040035776,20751,0
4054,55.7023,1,88245696,765.94849,1397678080,18280,0
4061,55.7767,1,121270456,457.71475,1540186496,17464,0
4068,55.8732,1,149119456,457.71405,1648615808,14752,0
4075,55.9515,1,168412400,457.71387,1735514496,14599,0
4082,56.0532,1,150817712,457.71396,1544665216,15305,0
4089,56.1568,1,160075056,457.71378,1665307136,14854,0
4096,56.2363,1,131477352,457.71405,1442224128,16141,0
4103,56.3378,1,128955536,457.71420,1620333312,15979,0
4110,56.4300,1,95014624,457.71448,1413484288,17088,0
4117,56.5175,1,109564152,457.71420,1776530304,16125,0
4124,56.6123,1,72459200,457.71475,1567133952,16506,0
4131,56.6743,1,79163504,493.27615,1625853824,16574,0
4138,56.7485,1,76870744,493.27655,1460346496,17092,0
4145,56.8358,1,86449584,493.27646,1613190272,17848,0
4152,56.9105,1,79711336,493.27625,1398598656,16872,0
4159,56.9938,1,85953064,674.87646,1425648000,17173,0
4166,57.0932,1,59619240,674.87708,997318848,17954,0
4173,57.1857,1,41278184,674.87476,708457664,17610,0
4180,57.2545,1,39317268,493.27673,791072576,21125,0
4187,57.3382,1,28612152,492.28400,720637952,23123,0
4194,57.4330,1,44243980,492.28369,731134144,22500,0
4201,57.5107,1,53021456,492.28369,711637888,21402,0
4208,57.5895,1,56065000,492.28369,809838080,21824,0
4215,57.6705,1,56174228,735.67859,782201280,21370,0
4222,57.7655,1,67082248,735.67853,715286976,22752,0
4229,57.8752,1,70448176,735.67798,738281280,23718,0
4236,57.9590,1,46581208,735.67816,548436160,24353,0
4243,58.0638,1,30677890,735.67798,505617696,25028,0
4250,58.1518,1,15590118,735.67871,469524768,26197,0
4257,58.2420,1,8059734.5,935.10767,425304480,26866,0
4264,58.3393,1,10569911,935.10742,426293568,27524,0
4271,58.4270,1,8915782,935.10712,369155456,26791,0
4278,58.5198,1,5908792.5,935.10687,355968960,26445,0
4285,58.6193,1,6371608,797.12280,353201696,27990,0
4292,58.7072,1,6027226,797.12219,353693856,25850,0
