Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName
815137	1	0.0023	1	1.8613E+07	1.1593E+06	371.1026	173.4	9365	9365	HMS
815137	2	0.0065	1	1.8628E+07	1.2067E+06	371.1024	183.3	9504	9504	HMS
815137	3	0.0105	1	1.7613E+07	1.1544E+06	371.1025	177.2	9285	9285	HMS
815137	4	0.0144	1	1.8489E+07	1.2026E+06	371.1024	176.3	9427	9427	HMS
815137	5	0.0184	1	1.8749E+07	1.1561E+06	371.1024	177	9366	9366	HMS
815137	6	0.0225	1	1.8407E+07	1.1741E+06	371.1025	172.5	9093	9093	HMS
815137	7	0.0265	1	1.8575E+07	1.1883E+06	371.1024	177.4	9378	9378	HMS
815137	8	0.0304	1	1.8272E+07	1.2699E+06	371.1025	187.3	9115	9115	HMS
815137	9	0.0344	1	1.938E+07	1.2022E+06	371.1024	183.4	10233	10233	HMS
815137	10	0.0385	1	1.9396E+07	1.2403E+06	371.1024	189.9	10353	10353	HMS
815137	11	0.0425	1	2.0091E+07	1.2084E+06	371.1024	179.2	9964	9964	HMS
815137	12	0.0464	1	1.9641E+07	1.2202E+06	371.1024	178.9	9535	9535	HMS
815137	13	0.0505	1	1.8275E+07	1.1688E+06	371.1025	179.8	9681	9681	HMS
815137	14	0.0545	1	1.8952E+07	1.105E+06	371.1025	166.1	9547	9547	HMS
815137	15	0.0586	1	1.9351E+07	1.1673E+06	371.1024	178.8	10076	10076	HMS
815137	16	0.0624	1	1.9396E+07	1.1847E+06	371.1024	179.6	9957	9957	HMS
815137	17	0.0665	1	2.0076E+07	1.1924E+06	371.1024	174.7	9890	9890	HMS
815137	18	0.0705	1	1.9503E+07	1.2068E+06	371.1025	175.6	8948	8948	HMS
815137	19	0.0746	1	1.9888E+07	1.2175E+06	371.1024	179.1	9383	9383	HMS
815137	20	0.0785	1	2.0126E+07	1.153E+06	371.1024	167.3	9639	9639	HMS
815137	21	0.0825	1	1.9732E+07	1.1382E+06	371.1024	171.5	9803	9803	HMS
