Scan	Intensity
11825	12.39999962
11836	9.800000191
11847	8.399999619
11858	17
11869	1.600000024
11880	0.5
11891	29.29999924
11902	2.599999905
11902	0
11902	0
11902	2.599999905
11913	6.5
11924	23.79999924
11935	10
11946	241604
11957	221763.5938
11968	574119.875
11979	641150.1875
11990	986839.8125
12001	927529.125
12012	1217581.5
12023	1688160.75
12034	1977565
12045	1978865.125
12056	2050865.25
12067	2063628.5
12078	1522165
12089	1840754.875
12100	949996.375
12111	1086606.125
12122	939345.625
12133	682866.125
12144	565298.375
12155	347087.8125
12166	376780.9063
12177	420108.8125
12188	431792.5
12199	899710.6875
12210	852249.1875
12221	1677240
12232	2866054.25
12243	4172628
12254	5956899
12265	8542640
12276	9896302
12287	8743637
12298	9924450
12309	10509824
12320	7929157
12331	7077719
12342	6757550
12353	3962829.5
12364	3714583.75
12375	3214562.5
12386	2269623.25
12397	1349671.875
12408	1323512.5
12419	1292457
12430	1442020.25
12441	1081102.375
12452	990461.5
12463	852326.125
12474	1272220.5
12485	1219091.75
12496	1608495.5
12507	2259369
12518	1979385.75
12529	2087962.5
12540	2212750.5
12551	2323365
12562	1800089.375
12573	1236927.875
12584	1109163.75
12595	1023204.688
12606	602446.1875
12617	243207.9063
12628	0.800000012
12639	185055.2969
12650	267513.8125
12661	25.5
12672	353208.5938
12683	160632.7969
12694	186669.2031
12705	203549.7969
12716	4.699999809
12727	12.80000019
12738	3.099999905
12749	0
12749	23.70000076
12749	23.70000076
12749	0
12760	1.100000024
12771	35
12782	3.700000048
12793	8
12804	190892.0938
12815	42741.10156
12826	11.5
12837	36.90000153
12848	335220.6875
12859	462855.1875
12870	428554.9063
12881	443370.3125
12892	308341.4063
12903	343794.9063
12914	436505.5938
12925	220366.7969
12936	339992.3125
12947	392311
12958	81301.79688
12969	257142.7969
12980	255966.7031
12991	19.20000076
13002	195596.7031
13013	261647.7969
13024	21.60000038
13035	6.800000191
13046	29.29999924
13057	163369.5938
13068	101854.7031
13079	167250.5938
13090	35.09999847
13101	119831
13112	110901.7969
13123	71780.39844
13134	25176.80078
13145	54.70000076
13156	2.5
13167	11.10000038
13178	179649.0938
13189	68189.39844
13200	36.09999847
13211	96067.20313
13222	45
13233	169195.9063
13244	55.90000153
13255	1.299999952
13266	13625.5
13277	84089.5
13288	1.600000024
13299	70.80000305
13310	1.799999952
13321	6.800000191
13332	2.700000048
13343	48.79999924
13354	48.59999847
