Scan	Intensity	SmoothedIntensity	Peak 1	Peak 2	Peak 3	Peak 4
11825	12.400	-558.619				
11836	9.800	-2386.488				
11847	8.400	-3428.702				
11858	17.000	-2455.695				
11869	1.600	930.555				
11880	0.500	5514.307				
11891	29.300	8444.829				
11902	2.600	6430.633				
11902	0.000	-2015.962				
11902	0.000	-14253.885	0.000			
11902	2.600	-22562.283	2.600			
11913	6.500	-15665.352	6.500			
11924	23.800	17468.383	23.800			
11935	10.000	83403.365	10.000			
11946	241604.000	182260.310	241604.000			
11957	221763.594	309664.669	221763.594			
11968	574119.875	461684.486	574119.875			
11979	641150.188	639190.006	641150.188			
11990	986839.813	847545.960	986839.813			
12001	927529.125	1090192.788	927529.125			
12012	1217581.500	1359242.632	1217581.500			
12023	1688160.750	1629453.541	1688160.750			
12034	1977565.000	1860900.281	1977565.000			
12045	1978865.125	2010539.619	1978865.125			
12056	2050865.250	2047330.285	2050865.250			
12067	2063628.500	1963563.440	2063628.500			
12078	1522165.000	1777493.655	1522165.000			
12089	1840754.875	1526973.563	1840754.875			
12100	949996.375	1257595.124	949996.375			
12111	1086606.125	1010171.937	1086606.125			
12122	939345.625	811365.825	939345.625			
12133	682866.125	669204.477	682866.125			
12144	565298.375	573890.757	565298.375			
12155	347087.813	504483.801	347087.813	347087.813		
12166	376780.906	442425.170	376780.906	376780.906		
12177	420108.813	390862.583	420108.813	420108.813		
12188	431792.500	393446.478		431792.500		
12199	899710.688	540966.299		899710.688		
12210	852249.188	954530.734		852249.188		
12221	1677240.000	1743278.642		1677240.000		
12232	2866054.250	2949671.913		2866054.250		
12243	4172628.000	4507199.253		4172628.000		
12254	5956899.000	6234547.609		5956899.000		
12265	8542640.000	7874661.792		8542640.000		
12276	9896302.000	9164607.582		9896302.000		
12287	8743637.000	9907030.197		8743637.000		
12298	9924450.000	10016019.532		9924450.000		
12309	10509824.000	9525823.056		10509824.000		
12320	7929157.000	8567285.681		7929157.000		
12331	7077719.000	7325350.788		7077719.000		
12342	6757550.000	5992256.975		6757550.000		
12353	3962829.500	4729003.963		3962829.500		
12364	3714583.750	3643267.347		3714583.750		
12375	3214562.500	2785404.254		3214562.500		
12386	2269623.250	2157730.609		2269623.250		
12397	1349671.875	1729368.599		1349671.875		
12408	1323512.500	1451312.306		1323512.500		
12419	1292457.000	1270984.017		1292457.000		
12430	1442020.250	1146902.423		1442020.250		
12441	1081102.375	1060589.799		1081102.375		
12452	990461.500	1019505.165		990461.500	990461.500	
12463	852326.125	1047194.420		852326.125	852326.125	
12474	1272220.500	1164285.999			1272220.500	
12485	1219091.750	1370198.214			1219091.750	
12496	1608495.500	1635262.591			1608495.500	
12507	2259369.000	1906729.950			2259369.000	
12518	1979385.750	2124556.362			1979385.750	
12529	2087962.500	2238910.673			2087962.500	
12540	2212750.500	2222532.554			2212750.500	
12551	2323365.000	2075016.211			2323365.000	
12562	1800089.375	1819538.179			1800089.375	
12573	1236927.875	1494502.772			1236927.875	
12584	1109163.750	1143668.734			1109163.750	
12595	1023204.688	808205.211			1023204.688	
12606	602446.188	522002.221			602446.188	
12617	243207.906	308808.697			243207.906	
12628	0.800	179293.931			0.800	
12639	185055.297	128462.400			185055.297	
12650	267513.813	136056.949			267513.813	
12661	25.500	171888.495			25.500	
12672	353208.594	205031.769			353208.594	
12683	160632.797	213273.595			160632.797	
12694	186669.203	188891.034			186669.203	
12705	203549.797	138600.699			203549.797	
12716	4.700	78189.876			4.700	
12727	12.800	24639.029			12.800	
12738	3.100	-10586.981			3.100	
12749	0.000	-24424.993			0.000	
12749	23.700	-20949.346			23.700	
12749	23.700	-7779.883			23.700	
12749	0.000	7394.237			0.000	
12760	1.100	18799.465				
12771	35.000	23352.813				
12782	3.700	21332.360				3.700
12793	8.000	17387.871				8.000
12804	190892.094	20817.926				190892.094
12815	42741.102	43253.816				42741.102
12826	11.500	93191.888				11.500
12837	36.900	169771.887				36.900
12848	335220.688	260231.488				335220.688
12859	462855.188	343984.888				462855.188
12870	428554.906	401716.835				428554.906
12881	443370.313	423987.429				443370.313
12892	308341.406	414109.604				308341.406
12903	343794.906	384228.231				343794.906
12914	436505.594	347990.028				436505.594
12925	220366.797	314592.031				220366.797
12936	339992.313	286967.592				339992.313
12947	392311.000	263616.303				392311.000
12958	81301.797	241595.449				81301.797
12969	257142.797	218464.594				257142.797
12980	255966.703	192711.538				255966.703
12991	19.200	163683.680				19.200
13002	195596.703	132099.845				195596.703
13013	261647.797	100996.156				261647.797
13024	21.600	75777.682				21.600
13035	6.800	62274.905				6.800
13046	29.300	63430.020				29.300
13057	163369.594	76848.083				163369.594
13068	101854.703	95162.972				101854.703
13079	167250.594	109139.999				167250.594
13090	35.100	111618.644				35.100
13101	119831.000	100262.019				119831.000
13112	110901.797	78192.243				110901.797
13123	71780.398	52626.833				71780.398
13134	25176.801	32074.108				25176.801
13145	54.700	22955.984				54.700
13156	2.500	26973.067				
13167	11.100	40573.563				
13178	179649.094	56947.196				
13189	68189.398	69421.127				
13200	36.100	74239.127				
13211	96067.203	71313.368				
13222	45.000	63088.716				
13233	169195.906	52732.674				
13244	55.900	42742.449				
13255	1.300	34328.232				
13266	13625.500	27471.854				
13277	84089.500	21482.530				
13288	1.600	15765.296				
13299	70.800	10338.413				
13310	1.800	5755.095				
13321	6.800	2567.043				
13332	2.700	848.963				
13343	48.800	182.953				
13354	48.600	19.072				
