Scan	Intensity	SmoothedIntensity	Peak 1	Peak 2	Peak 3	Peak 4	Peak 5	Peak 6	Peak 7	Peak 8	Peak 9
5797	5.500	14993.031									
5808	9975.500	27665.205									
5819	71351.203	39086.892									
5830	89824.102	46325.679									
5841	4.300	47807.698									
5852	0.200	43700.598									
5863	93880.898	35667.541									
5874	1794.600	26411.182	1794.600								
5885	49793.699	19177.527	49793.699								
5896	7162.700	17005.652	7162.700								
5907	11605.900	21588.990	11605.900								
5918	33827.500	32158.340	33827.500								
5929	20372.801	45225.449	20372.801								
5940	38596.301	55789.174	38596.301								
5951	133336.094	59698.015	133336.094								
5962	59994.500	55896.105	59994.500								
5973	6532.000	47090.338	6532.000								
5984	27513.699	38300.956	27513.699								
5995	42432.602	34176.137	42432.602								
6006	24814.699	36744.865	24814.699								
6017	81935.602	44884.772	81935.602								
6028	37515.500	55636.732	37515.500								
6039	39286.102	66474.925	39286.102								
6050	79187.602	77225.645	79187.602								
6061	166891.797	90485.677	166891.797								
6072	111273.898	110008.946	111273.898								
6083	60024.898	137615.931	60024.898								
6094	133244.500	170407.167	133244.500								
6105	224813.203	200451.971	224813.203								
6116	263174.594	217848.090	263174.594								
6127	271439.188	215682.212	271439.188								
6138	124732.500	193843.558	124732.500								
6149	193557.297	159285.239	193557.297								
6160	41747.199	122709.233	41747.199								
6171	131973.000	93853.684	131973.000								
6182	95272.000	78034.666	95272.000								
6193	101192.102	75366.797	101192.102	101192.102							
6204	25418.199	82398.965		25418.199							
6215	120378.203	94907.454		120378.203							
6226	91517.898	110487.314		91517.898							
6237	175522.203	129897.497		175522.203							
6248	156031.906	156533.240		156031.906							
6259	129243.398	194037.691		129243.398							
6270	349521.688	242977.177		349521.688							
6281	184749.297	298281.829		184749.297							
6292	352692.813	349177.069		352692.813							
6303	418842.094	382301.777		418842.094							
6314	389966.500	386959.623		389966.500							
6325	424242.188	359951.766		424242.188							
6336	281135.406	307329.588		281135.406							
6347	152506.906	242043.977		152506.906							
6358	217180.297	178837.287		217180.297							
6369	145093.094	129112.641		145093.094							
6380	86729.000	98025.939		86729.000							
6391	143901.500	84369.676		143901.500							
6402	2558.100	82409.769		2558.100							
6413	108003.297	84489.309		108003.297							
6424	80438.398	83582.690		80438.398							
6435	118724.703	75331.197		118724.703							
6446	21.800	59160.980		21.800							
6457	81270.500	38164.292		81270.500							
6468	9.400	17762.919		9.400							
6479	2.700	3628.130		2.700							
6490	9.400	-396.901		9.400	9.400						
6501	0.900	6324.045			0.900						
6512	23369.600	20942.469			23369.600						
6523	104204.500	38028.906			104204.500						
6534	0.100	51629.825			0.100						
6545	1.700	58553.862			1.700						
6556	64000.301	62805.795			64000.301						
6567	97678.102	80049.032			97678.102						
6578	132666.094	139241.713			132666.094						
6589	515917.094	277678.720			515917.094						
6600	411131.313	527535.928			411131.313						
6611	808095.313	897037.517			808095.313						
6622	1197295.375	1354982.294			1197295.375						
6633	1916412.375	1829090.295			1916412.375						
6644	2289955.500	2223575.588			2289955.500						
6655	2222528.750	2451305.243			2222528.750						
6666	2978328.500	2466713.350			2978328.500						
6677	2233757.000	2283281.937			2233757.000						
6688	1759164.375	1966182.495			1759164.375						
6699	1508402.125	1603552.538			1508402.125						
6710	1157380.250	1271422.950			1157380.250						
6721	1055385.500	1009966.541			1055385.500						
6732	1053262.125	820693.588			1053262.125						
6743	729063.875	681358.841			729063.875						
6754	407156.313	566560.866			407156.313						
6765	478476.500	462115.350			478476.500						
6776	378687.406	368048.807			378687.406						
6787	270670.406	292490.273			270670.406						
6798	256890.203	242481.279			256890.203						
6809	213818.203	217354.408			213818.203						
6820	127965.000	207683.365			127965.000						
6831	338888.188	199652.926			338888.188						
6842	90896.203	182112.362			90896.203						
6853	197064.500	152337.951			197064.500						
6864	152648.000	117161.484			152648.000						
6875	101925.500	88498.646			101925.500						
6886	25.100	75492.647			25.100	25.100					
6897	45324.500	77957.388				45324.500					
6908	81948.398	85981.006				81948.398					
6919	51486.102	87671.816				51486.102					
6930	231140.203	82090.540				231140.203					
6941	3.700	90124.197				3.700					
6952	323360.188	155341.152				323360.188					
