Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed
0	0	649.4476	7301	7302	7323	-1	0	7301	7389	7323	9682.6	3.745	25	513865	9044.7	2585.4	2786	27	247993	7323	15.8	0.2112	0.3287	8
0	1	803.1318	7301	7303	7301	-1	0	7301	7301	7301	7201	0.7329	0	7561.1	7976.3	9825.8	6812	27	189194	7313	6.7	-0.3109	0.433	3
0	2	831.7505	7301	7304	7301	-1	0	7301	7301	7301	5587.5	5.963	0	5866.8	4639.3	937.08	1036	27	37856	7312	6.72	-0.1933	0.433	3
0	3	663.4584	7301	7305	7301	-1	0	7301	7301	7301	5063.5	4.51	0	5316.7	3745.1	1122.8	1036	27	37270	7313	6.74	-0.2575	0.433	3
0	4	818.1622	7301	7306	7301	-1	0	7301	7301	7301	4688.1	5.136	0	4922.5	3584.7	912.73	947	27	40403	7313	6.73	-0.2275	0.433	3
0	5	697.3392	7301	7307	7301	-1	0	7301	7301	7301	4612.7	3.763	0	4843.4	2891.4	1225.9	923	27	35879	7313	6.73	-0.2216	0.433	3
0	6	843.2443	7301	7308	7301	-1	0	7301	7301	7301	3810	1.584	0	4000.5	1986.9	2405.1	3748	27	25345	7312	6.74	-0.2079	0.433	3
0	7	823.5718	7301	7309	7334	-1	0	7301	7400	7334	3014	2.122	29	183821	2107.8	1420.1	1050	27	43184	7333	14.5	0.0101	0.3757	7
0	8	1179.6666	7301	7310	7301	-1	0	7301	7367	7301	3614.9	9.053	6	50945	1040.3	399.31	679	27	17710	7312	10.8	0.3898	0.3578	6
0	9	1124.984	7301	7311	7301	-1	0	7301	7367	7301	3497.2	5.59	6	62165	1217	625.6	719	27	35251	7320	12.3	0.2217	0.4246	5
0	10	613.3919	7312	7313	7323	-1	0	7301	7389	7323	12063	6.922	32	436092	12073	1742.6	3457	27	306472	7325	16.2	0.1153	0.3375	8
0	11	744.4777	7312	7314	7323	-1	0	7301	7389	7323	21206	9.635	15	535702	9312.9	2201	4269	27	355379	7326	16.3	0.0949	0.3433	8
0	12	1601.7367	7312	7315	7466	141	0	7301	7378	7312	3361.9	1.902	37	158496	3164.3	1767.5	1477	27	30834	7316	11.4	0.0901	0.3818	6
0	13	870.33	7312	7316	7378	-1	0	7312	7444	7378	350928	7.983	30	1.2729E+07	5438.3	43958	93825	27	9.4625E+06	7380	17.7	-0.0328	0.3408	9
0	14	826.4767	7312	7317	7323	-1	0	7301	7389	7323	2324.5	1.424	57	160516	2699.5	1632.1	811	27	17705	7328	11.5	0.0218	0.3922	6
0	15	879.203	7312	7318	7312	-1	0	7301	7312	7312	2568.8	3.249	11	40870	2463.8	790.69	692	27	39191	7313	6.71	-0.2932	0.433	3
0	16	852.2262	7312	7319	7367	-1	0	7301	7477	7367	9303.2	2.876	23	697583	2370.9	3234.9	2098	27	147976	7365	18.1	0.1139	0.3074	9
0	17	630.531	7312	7320	7323	-1	0	7301	7389	7323	2382.5	2.706	20	96286	2259	880.36	524	27	21519	7325	13.2	-0.088	0.3795	7
0	18	629.3939	7312	7321	7323	-1	0	7301	7389	7323	6850.4	3.335	31	270499	6578.4	2053.8	2058	18	108916	7325	14.2	-0.0913	0.3457	7
0	19	620.4468	7312	7322	7334	-1	0	7301	7367	7334	3065.5	0.7765	43	208904	3236.5	3947.6	1768	27	127819	7335	12.9	-0.1589	0.3727	5
0	20	870.4597	7323	7324	7378	-1	0	7312	7444	7378	350928	7.983	30	1.2729E+07	11686	43958	93825	27	9.4625E+06	7380	17.7	-0.0328	0.3408	9
0	21	795.1381	7323	7325	7334	-1	0	7301	7400	7334	2588.7	1.107	84	210150	3558.7	2338.6	1287	27	100037	7335	12.7	-0.1716	0.3727	5
0	22	760.0795	7323	7326	7334	-1	0	7301	7378	7334	3622.2	1.587	22	172373	3456.3	2282.9	1040	27	8199.5	7336	8.72	-0.1468	0.4405	5
0	23	625.5499	7323	7327	7345	-1	0	7301	7389	7345	3861.8	1.223	62	335823	3519.7	3158.8	891	27	29505	7353	16.8	0.4284	0.3	9
0	24	815.7101	7323	7328	7323	-1	0	7301	7378	7323	3254.4	2.21	37	213394	3254.5	1472.4	1052	27	78493	7326	15.9	0.0881	0.3394	8
0	25	745.6337	7323	7329	7323	-1	0	7301	7389	7323	3517	3.187	36	194999	5398.4	1103.6	1744	27	110404	7328	16.1	0.0002	0.3505	8
0	26	941.5066	7323	7330	7323	-1	0	7301	7389	7323	2343.1	2.166	24	127417	2387.2	1081.6	683	27	27271	7326	13.2	-0.1315	0.3819	7
0	27	872.4999	7323	7331	7378	-1	0	7312	7455	7378	39386	7.049	29	1.5460E+06	2137.5	5587.7	10716	27	1.0779E+06	7382	17.7	-0.0613	0.3295	9
0	28	702.0321	7323	7332	7323	-1	0	7301	7389	7323	6501.7	3.588	24	269839	4003.7	1812	1546	27	110627	7324	15.3	0.1022	0.3282	8
0	29	673.4708	7323	7333	7323	-1	0	7301	7389	7323	1952.9	1.767	11	78192	1128.3	1105	1080	27	3513.7	7326	8.3	-0.1407	0.4445	5
